ablation,display_name,metric,n_pairs,full_model_advantage_mean,full_model_advantage_std,test,assumption,statistic,p_value,paired_cohens_dz
no_agent_id,No agent ID,raw_episode_reward,30,-62.124451851851845,14.306497814891209,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-23.784272078443397,1.427835880594917e-20,-4.342394110401243
no_agent_id,No agent ID,event_recall,30,-0.06772007006430322,0.018186193833062147,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-20.395587064851913,9.649271348292714e-19,-3.723707702993325
no_agent_id,No agent ID,total_energy_consumption,30,-1.2833333333333645,0.3746006813903205,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-18.764264198776843,9.178744983535567e-18,-3.4258702588855603
no_agent_id,No agent ID,mean_aoi,30,-2.2150655864197537,0.4645867276442399,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-26.114422041013512,1.0676680581034408e-21,-4.767819342691067
no_agent_id,No agent ID,redundant_sampling,30,-2.4111111111111123,3.3786384767502526,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-3.9087341048609057,0.0005122868065663438,-0.7136339468406937
no_agent_id,No agent ID,network_utility,30,-0.07294055334258655,0.01988850235451695,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-20.087579099976846,1.4584175824595195e-18,-3.667473399575547
no_aoi,No AoI term,raw_episode_reward,30,-3.9377999999999984,4.134578593306891,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-5.216545866210727,1.389485161022797e-05,-0.952406614394647
no_aoi,No AoI term,event_recall,30,-0.003752933921921988,0.005100749648186181,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-4.029930319348179,0.0003688130704759056,-0.7357612470269984
no_aoi,No AoI term,total_energy_consumption,30,-0.1716666666666704,0.0942961422970615,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-9.971320503106693,7.043945355469501e-11,-1.8205057225550993
no_aoi,No AoI term,mean_aoi,30,-0.15880594135802464,0.18420954610853957,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-4.721883213174065,5.492305939397046e-05,-0.8620939832534701
no_aoi,No AoI term,redundant_sampling,30,-0.14444444444444524,2.0354771689302424,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-0.38868272135965076,0.7003499772683891,-0.07096343140039194
no_aoi,No AoI term,network_utility,30,-0.004130493523830324,0.00560222585835762,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-4.038331430811177,0.0003604810755296863,-0.737295073112465
no_coordination_constraint,No coordination constraint,raw_episode_reward,30,214.879514814815,28.20135211111793,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,41.73358672524095,1.892548077111617e-27,7.619475618337541
no_coordination_constraint,No coordination constraint,event_recall,30,0.1465926462938397,0.03711908134186353,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,21.63094996883915,1.941277017678934e-19,3.9492530793996248
no_coordination_constraint,No coordination constraint,total_energy_consumption,30,5.396666666666791,0.7490274665150173,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,39.4628528433323,9.329558673959479e-27,7.204898228599996
no_coordination_constraint,No coordination constraint,mean_aoi,30,-0.06100501543209861,0.5890958868025464,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-0.5672051667933449,0.5749395848910348,-0.10355702152873172
no_coordination_constraint,No coordination constraint,redundant_sampling,30,121.0111111111111,8.997438261782342,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,73.66598506805403,1.5436381997218678e-34,13.44950724753731
