policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction,ablation,model_path
Full QMIX,101,1024,volatile,coordinated,34.713999999999984,0.5726495726495726,0.4273504273504274,15.145840000000145,27.734086011533236,0.034353275588249674,9.926215277777779,40.0,61.0,56.0,0.9774305555555556,0.5597251899335233,299,346,0,47,806,346,0.3003472222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1025,volatile,coordinated,-104.40600000000002,0.33211678832116787,0.6678832116788321,14.995840000000102,27.631273780374894,0.015001982225103468,10.2578125,42.0,61.0,73.0,0.859375,0.28541286496350365,296,364,0,68,788,364,0.3159722222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1026,volatile,coordinated,-98.87433333333341,0.2971014492753623,0.7028985507246377,15.295840000000126,28.031244741185912,0.01090044849583332,10.914930555555555,44.0,66.0,46.0,0.9033564814814814,0.2683885198604401,302,334,0,32,818,334,0.2899305555555556,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1027,volatile,coordinated,-16.327666666666662,0.4276315789473684,0.5723684210526316,14.345840000000056,27.875509386714086,0.0198397509551098,11.33420138888889,46.0,63.0,53.0,0.9560185185185185,0.408823708576998,283,330,0,47,822,330,0.2864583333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1028,volatile,coordinated,-14.993333333333315,0.45695364238410596,0.543046357615894,16.195840000000132,27.621479294635346,0.02046073098262356,11.236979166666666,44.0,62.0,69.0,0.960648148148148,0.4389716703458425,320,375,0,55,777,375,0.3255208333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1029,volatile,coordinated,1.445999999999968,0.4377880184331797,0.5622119815668203,14.84584000000009,27.800474848912,0.022450127243187814,10.823784722222221,48.0,68.0,55.0,0.9149305555555556,0.40054563492063494,293,366,0,73,786,366,0.3177083333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,101,1030,volatile,coordinated,0.753666666666696,0.44155844155844154,0.5584415584415585,16.14584000000013,27.873481980284083,0.02801937816478741,10.270833333333334,43.450000000000045,67.0,66.0,0.9146412037037037,0.4038675444925445,319,397,0,78,755,397,0.3446180555555556,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed101.onnx
Full QMIX,102,1001,volatile,coordinated,68.17866666666663,0.47194719471947194,0.528052805280528,13.645840000000028,27.869978979177933,0.012236548598728521,8.480902777777779,36.0,58.0,61.0,0.8981481481481483,0.42387849896100727,269,324,0,55,828,324,0.28125,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1002,volatile,coordinated,110.16066666666671,0.5355805243445693,0.46441947565543074,14.795840000000121,28.196069389932298,0.018851960686575613,6.884548611111111,29.450000000000045,55.0,78.0,0.9380787037037037,0.5024166840061035,292,362,0,70,790,362,0.3142361111111111,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1003,volatile,coordinated,14.149999999999947,0.475,0.525,12.84584,28.045742792782573,0.027574354554865718,7.862847222222222,31.450000000000045,51.0,46.0,0.9392361111111112,0.44613715277777777,253,294,0,41,858,294,0.2552083333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
