ablation,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction
full,1001,0.46314631463146316,0.5368536853685368,14.045840000000041,27.869978979177933,0.013850640937593174,9.497395833333334,38.666666666666664,56.666666666666664,67.33333333333333,0.9013310185185186,0.41760284246017193,53.66433333333336,0.29716435185185186
full,1002,0.5205992509363296,0.4794007490636704,15.345840000000138,28.1960693899323,0.023026133643062538,8.398726851851853,36.30000000000003,60.0,75.66666666666667,0.94164737654321,0.49039792562537565,95.79144444444444,0.32233796296296297
full,1003,0.4749999999999999,0.525,13.62917333333337,28.045742792782573,0.03559321148824116,8.504918981481481,34.63333333333336,55.0,47.333333333333336,0.9428047839506174,0.4488733362268518,11.984777777777763,0.2711226851851852
full,1004,0.49454545454545457,0.5054545454545455,14.695840000000109,27.778055887166204,0.02492602223001375,9.332175925925926,41.0,63.333333333333336,72.33333333333333,0.8897569444444445,0.4407449494949495,79.17833333333333,0.3119212962962963
full,1005,0.4859943977591037,0.5140056022408963,13.362506666666702,27.612860050191575,0.02346705654021777,10.06105324074074,42.333333333333336,62.666666666666664,61.666666666666664,0.9344135802469135,0.45526677106027585,47.51511111111116,0.2800925925925926
full,1006,0.40726329442282755,0.5927367055771725,14.262506666666738,27.73702749384593,0.007778106843184178,8.574652777777777,36.333333333333336,58.666666666666664,52.333333333333336,0.8799189814814814,0.3588788610270452,-15.978000000000003,0.2899305555555556
full,1007,0.4156206415620642,0.5843793584379359,14.21250666666674,27.847617605125972,0.010036237257240774,8.619502314814815,34.333333333333336,54.333333333333336,57.666666666666664,0.8826195987654321,0.3673912973294075,-12.450222222222228,0.28877314814814814
full,1008,0.36507936507936506,0.634920634920635,12.645840000000021,27.813389786660803,0.01353456675114297,9.714699074074074,37.333333333333336,61.666666666666664,51.333333333333336,0.8888888888888888,0.3247905643738977,-54.7226666666667,0.2445023148148148
full,1009,0.3875205254515599,0.6124794745484401,13.429173333333376,27.58535144988277,0.014462758368055459,9.114872685185185,36.15000000000001,57.666666666666664,46.0,0.9128086419753085,0.3546598476555373,-32.449777777777776,0.2682291666666667
full,1010,0.49760765550239233,0.5023923444976076,13.879173333333434,27.87536673639651,0.026133418827564148,8.815393518518519,35.666666666666664,60.333333333333336,68.66666666666667,0.9395254629629629,0.46765489323055115,50.50266666666666,0.28096064814814814
full,1011,0.43288084464555054,0.5671191553544496,13.96250666666671,27.8041058670549,0.014898417109838696,9.590567129629628,40.0,57.333333333333336,57.0,0.8746141975308642,0.37943585553879666,-1.2181111111111491,0.2786458333333333
full,1012,0.3980099502487562,0.6019900497512438,14.81250666666673,27.719253047701116,0.06106059185021845,9.351273148148147,41.666666666666664,62.0,65.66666666666667,0.8732638888888888,0.34831484936428964,-33.23400000000001,0.30121527777777773
full,1013,0.44894026974951834,0.5510597302504817,13.862506666666782,27.505443767934835,0.05311291047089107,10.18431712962963,43.9666666666667,63.0,47.0,0.9363425925925926,0.4210755191607793,1.937333333333316,0.27054398148148145
full,1014,0.5310734463276836,0.4689265536723164,12.37917333333334,27.16643055612605,0.08076306520442232,9.207465277777777,37.333333333333336,58.0,45.0,0.9603587962962963,0.5100856285310734,26.38633333333334,0.23958333333333334
full,1015,0.5274261603375527,0.47257383966244726,13.695840000000077,27.984652380248956,0.04136486726011607,8.62355324074074,35.0,59.333333333333336,51.0,0.9621913580246914,0.5078405805594625,44.94077777777776,0.265625
full,1016,0.48763250883392223,0.5123674911660777,14.945840000000082,27.74034214332949,0.02341658257955416,8.305555555555555,37.0,58.333333333333336,69.66666666666667,0.910011574074074,0.4443415183440213,74.1206666666666,0.32378472222222227
full,1017,0.43986254295532645,0.5601374570446735,13.87917333333345,27.709681216547505,0.01932439340815729,10.080729166666666,40.816666666666684,60.0,79.66666666666667,0.867476851851852,0.38209889801026686,26.766000000000044,0.29832175925925924
full,1018,0.5729166666666666,0.4270833333333333,15.66250666666678,27.811885286899123,0.053452184286227555,8.508391203703704,38.666666666666664,61.666666666666664,75.33333333333333,0.9624807098765432,0.5515834263392857,119.80211111111102,0.3240740740740741
full,1019,0.43684210526315786,0.5631578947368422,13.07917333333337,28.39281734152696,0.050260825333213334,8.755208333333334,37.48333333333335,60.666666666666664,54.666666666666664,0.921778549382716,0.40304987004548404,3.330555555555565,0.2728587962962963
