policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction
Entropy Threshold,2018,0.6162162162162163,0.38378378378378375,9.995839999999898,28.00842583013536,0.031928387794718925,5.981770833333333,21.0,40.0,42.0,0.961226851851852,0.5923235735735737,143.09733333333332,0.19444444444444445
Entropy Threshold,2019,0.5854545454545454,0.41454545454545455,11.995840000000053,27.551457754924428,0.15130239743720375,5.109375,18.0,28.0,51.0,0.9380787037037036,0.549202441077441,194.40466666666674,0.2465277777777778
Entropy Threshold,2020,0.5651041666666666,0.43489583333333337,14.495840000000094,27.36269375896255,0.03164411958141442,5.414930555555555,25.0,54.0,77.0,0.9010416666666666,0.509182400173611,239.42600000000004,0.3029513888888889
Entropy Threshold,2021,0.6145038167938931,0.3854961832061069,12.295840000000048,27.56603775881028,0.09054097643732946,4.272569444444445,15.0,27.0,59.0,0.9360532407407409,0.5752082891574781,218.7373333333333,0.24305555555555555
Entropy Threshold,2022,0.5941558441558441,0.4058441558441559,12.695840000000054,27.904592827016245,0.168831512662805,7.736111111111111,37.450000000000045,66.0,56.0,0.9354745370370369,0.5558176632395381,226.8526666666666,0.2543402777777778
Entropy Threshold,2023,0.6417910447761194,0.35820895522388063,11.045840000000002,27.61509607983241,0.1589810926284522,5.627604166666667,19.0,33.0,47.0,0.984375,0.6317630597014925,170.42799999999997,0.2265625
Entropy Threshold,2024,0.6729857819905213,0.3270142180094787,10.745840000000014,28.015527087936654,0.2627330793940103,5.677083333333333,19.0,34.0,55.0,0.9756944444444444,0.6566284886782516,213.19099999999986,0.2109375
Entropy Threshold,2025,0.5985915492957746,0.4014084507042254,12.9958400000001,27.669576750162246,0.29407873210637,4.694444444444445,17.0,46.0,65.0,0.9461805555555556,0.5663756846635368,206.61100000000008,0.2604166666666667
Entropy Threshold,2026,0.532051282051282,0.46794871794871795,11.99584,27.640208593707953,0.08222998350684285,4.9140625,18.0,27.0,60.0,0.9201388888888888,0.48956107549857547,146.467,0.2508680555555556
Entropy Threshold,2027,0.615819209039548,0.384180790960452,10.495839999999973,27.79103091221663,0.2603601924965899,4.953993055555555,16.0,37.0,47.0,0.9774305555555556,0.6019205116133082,134.2049999999999,0.2092013888888889
Entropy Threshold,2028,0.585635359116022,0.41436464088397795,9.995839999999951,27.91245521842166,0.35674460312836187,6.747395833333333,25.0,53.0,39.0,0.9577546296296298,0.5608949764681809,118.12733333333328,0.1996527777777778
Entropy Threshold,2029,0.6290322580645161,0.3709677419354839,10.245839999999912,27.551238467374578,0.11064923957190637,6.108506944444445,20.0,46.0,36.0,0.9623842592592591,0.6053707437275985,155.8386666666666,0.19791666666666666
Entropy Threshold,2030,0.5864406779661017,0.41355932203389834,12.395840000000044,27.893781227201316,0.029389262466455315,5.723090277777778,21.0,45.0,62.0,0.9351851851851851,0.5484306340238543,199.93533333333332,0.2508680555555556
Published QMIX,2001,0.4166666666666667,0.5833333333333334,12.662506666666687,27.789725214018684,0.025471150318753518,9.88744212962963,38.0,60.0,40.0,0.9324845679012347,0.3896522266313934,-15.359777777777806,0.23408564814814814
Published QMIX,2002,0.5232558139534883,0.47674418604651164,14.045840000000128,27.67998710577186,0.028908003503925406,7.8712384259259265,32.333333333333336,54.333333333333336,65.33333333333333,0.9481095679012346,0.4963645967915589,47.25255555555552,0.2881944444444445
Published QMIX,2003,0.5228758169934641,0.47712418300653586,12.862506666666716,27.90966007891191,0.09809036550987173,9.052662037037036,35.816666666666684,57.333333333333336,40.0,0.9782986111111112,0.5129177635560397,12.669333333333336,0.2476851851851852
Published QMIX,2004,0.430939226519337,0.569060773480663,12.462506666666728,27.609434271665254,0.1506341782379767,10.114293981481481,39.63333333333336,62.333333333333336,54.0,0.937403549382716,0.40406787139349293,-4.482777777777757,0.24797453703703706
Published QMIX,2005,0.4901960784313726,0.5098039215686274,14.162506666666756,27.493943092734906,0.022091773573660836,8.502604166666666,36.15000000000001,58.666666666666664,48.333333333333336,0.935763888888889,0.45962079632422775,57.451333333333345,0.28616898148148145
Published QMIX,2006,0.47222222222222215,0.5277777777777778,13.829173333333388,27.58783026978388,0.02924645469698445,7.778356481481482,31.333333333333332,52.0,58.666666666666664,0.9439621913580246,0.44720874386673,5.420777777777768,0.27922453703703703
Published QMIX,2007,0.4470774091627172,0.5529225908372828,13.96250666666674,27.41924582964383,0.022042267158962996,8.820601851851853,37.30000000000003,63.666666666666664,51.666666666666664,0.9181134259259259,0.4117888252589082,18.40699999999998,0.2774884259259259
Published QMIX,2008,0.4131652661064426,0.5868347338935574,13.67917333333341,28.01746824300685,0.01769684888182648,9.054398148148149,36.48333333333335,58.0,64.33333333333333,0.8856095679012345,0.36698487265276475,-14.11611111111113,0.27777777777777773
Published QMIX,2009,0.46879150066401065,0.5312084993359893,15.045840000000075,27.717380271135582,0.005519877722914746,8.887152777777777,39.0,63.666666666666664,70.33333333333333,0.8877314814814814,0.4170409411735772,36.71400000000008,0.3052662037037037
Published QMIX,2010,0.4156378600823045,0.5843621399176955,14.862506666666754,27.926349226582474,0.017043370437624602,9.648726851851853,42.333333333333336,67.0,76.66666666666667,0.8197337962962963,0.3411154692501143,-5.495666666666705,0.31105324074074076
Published QMIX,2011,0.45261984392419174,0.5473801560758083,14.662506666666756,27.666708871963724,0.02459425208196635,10.243923611111112,42.333333333333336,63.0,73.0,0.8859953703703703,0.40176423985300797,46.48066666666667,0.3113425925925926
Published QMIX,2012,0.4098639455782313,0.5901360544217686,13.545840000000075,27.79175907576096,0.018286853073691833,9.926215277777777,41.816666666666684,66.33333333333333,57.333333333333336,0.9253472222222222,0.3794509991496598,-28.095333333333354,0.27777777777777773
Published QMIX,2013,0.41919191919191917,0.5808080808080808,13.862506666666727,28.034650414776124,0.01852707203626942,9.912905092592593,40.0,58.333333333333336,60.666666666666664,0.8822337962962963,0.3703674476243921,2.008333333333333,0.28530092592592593
Published QMIX,2014,0.4312977099236641,0.5687022900763359,14.829173333333445,27.917458064176174,0.027583925985515994,8.45920138888889,36.333333333333336,64.66666666666667,62.666666666666664,0.8850308641975309,0.383355126755254,13.248222222222232,0.2896412037037037
Published QMIX,2015,0.5032051282051282,0.4967948717948718,14.412506666666738,27.583281782233133,0.08561868931425269,8.966145833333334,37.816666666666684,59.666666666666664,57.333333333333336,0.9563078703703703,0.4815208963971985,60.395333333333376,0.2916666666666667
Published QMIX,2016,0.5492063492063491,0.4507936507936508,14.062506666666764,27.81326396103613,0.08258021554323057,7.826099537037037,32.48333333333335,56.0,68.0,0.9562114197530863,0.5253192056143444,89.6412222222222,0.30034722222222227
Published QMIX,2017,0.3817504655493482,0.6182495344506518,13.445840000000045,27.75036285078093,0.037807781192132774,8.145833333333334,32.666666666666664,59.0,62.333333333333336,0.9047067901234569,0.34546348024001655,-54.135111111111115,0.27777777777777773
Published QMIX,2018,0.43423423423423424,0.5657657657657658,13.495840000000063,28.008425830135355,0.025779133737838304,9.972511574074074,39.0,64.0,49.0,0.9173418209876544,0.3998853019686354,-2.7165555555555514,0.2595486111111111
Published QMIX,2019,0.45575757575757575,0.5442424242424243,14.762506666666804,27.551457754924428,0.010488400669263398,8.43605324074074,36.333333333333336,56.0,73.66666666666667,0.9060570987654321,0.4128731762065095,36.95444444444444,0.3191550925925926
Published QMIX,2020,0.44097222222222227,0.5590277777777778,16.462506666666787,27.36269375896255,0.02210204287705102,8.483217592592593,39.666666666666664,59.666666666666664,86.33333333333333,0.8521412037037036,0.3758911635159465,43.38333333333336,0.36429398148148145
Published QMIX,2021,0.45801526717557256,0.5419847328244275,14.495840000000092,27.56603775881028,0.018862692128735,8.052372685185185,34.48333333333335,57.333333333333336,63.333333333333336,0.894579475308642,0.41064476133257943,51.123555555555555,0.29340277777777773
Published QMIX,2022,0.4816017316017316,0.5183982683982684,15.17917333333343,27.904592827016245,0.021408822660028425,9.405092592592593,41.0,65.66666666666667,79.66666666666667,0.9117476851851852,0.4395818302068302,76.52799999999995,0.32841435185185186
Published QMIX,2023,0.49585406301824214,0.5041459369817579,13.962506666666693,27.61509607983241,0.018781003432228736,8.73755787037037,35.0,54.666666666666664,66.33333333333333,0.9464699074074074,0.4698162351821142,36.24733333333333,0.29195601851851855
Published QMIX,2024,0.5687203791469194,0.4312796208530805,14.312506666666778,28.015527087936658,0.06170731356340586,8.578993055555555,36.48333333333335,62.666666666666664,75.33333333333333,0.9589120370370371,0.5459397489906969,107.8556666666667,0.2994791666666667
Published QMIX,2025,0.4765258215962442,0.5234741784037559,15.462506666666764,27.669576750162246,0.04132072486842176,8.721064814814815,40.666666666666664,63.0,73.33333333333333,0.9029706790123456,0.4305586120892018,57.56088888888886,0.31886574074074076
Published QMIX,2026,0.40277777777777773,0.5972222222222222,14.0958400000001,27.640208593707953,0.016786801173186167,8.32957175925926,33.816666666666684,58.666666666666664,75.0,0.875,0.3530927261396011,-24.761666666666688,0.3015046296296296
Published QMIX,2027,0.4915254237288136,0.5084745762711864,14.162506666666753,27.79103091221663,0.022558660352022444,7.9233217592592595,34.15000000000001,53.333333333333336,60.666666666666664,0.9557291666666666,0.4699727976564135,31.236333333333317,0.2925347222222222
Published QMIX,2028,0.3941068139963167,0.6058931860036832,13.512506666666711,27.91245521842166,0.05122204847528319,9.03587962962963,36.666666666666664,56.666666666666664,50.666666666666664,0.9190779320987653,0.3623399239478889,-30.83422222222225,0.27025462962962965
Published QMIX,2029,0.36200716845878134,0.6379928315412187,14.045840000000092,27.551238467374578,0.03466865869150145,9.643518518518519,37.63333333333336,64.33333333333333,45.333333333333336,0.8919753086419754,0.3234398853378468,-55.0867777777778,0.2702546296296296
Published QMIX,2030,0.48361581920903957,0.5163841807909605,14.22917333333345,27.893781227201316,0.025541076711653236,8.569155092592593,35.816666666666684,54.666666666666664,87.33333333333333,0.9089506172839505,0.43971901810002095,62.6524444444444,0.3177083333333333
Upgraded QMIX,2001,0.580952380952381,0.41904761904761906,11.312506666666627,27.789725214018684,0.020927210851487587,5.410590277777778,20.116666666666713,37.333333333333336,42.0,0.9667245370370372,0.5616567460317462,80.96199999999999,0.21672453703703706
Upgraded QMIX,2002,0.6337209302325582,0.36627906976744184,12.59584000000009,27.67998710577186,0.15110207555369895,4.6548032407407405,17.0,34.0,55.0,0.9776234567901234,0.6195404464542061,135.61222222222224,0.24826388888888887
Upgraded QMIX,2003,0.630718954248366,0.369281045751634,10.262506666666653,27.90966007891191,0.27740212381807977,4.8735532407407405,15.333333333333334,37.666666666666664,45.0,0.9878472222222222,0.6230539669571532,61.569333333333326,0.1996527777777778
Upgraded QMIX,2004,0.5432780847145487,0.4567219152854512,11.129173333333382,27.609434271665254,0.34832136042176054,6.40162037037037,24.81666666666668,42.0,48.0,0.9432870370370371,0.5124671748175431,78.5213333333333,0.2210648148148148
Upgraded QMIX,2005,0.6244343891402715,0.3755656108597285,13.71250666666675,27.493943092734906,0.08087062174301042,4.602141203703703,16.30000000000003,55.0,62.666666666666664,0.9673032407407409,0.6040174082453496,169.0873333333334,0.2725694444444444
