policy,n_environment_seeds,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,missed_event_rate_mean,missed_event_rate_std,missed_event_rate_ci95_low,missed_event_rate_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,harvested_energy_mean,harvested_energy_std,harvested_energy_ci95_low,harvested_energy_ci95_high,final_battery_mean,final_battery_std,final_battery_ci95_low,final_battery_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,p95_aoi_mean,p95_aoi_std,p95_aoi_ci95_low,p95_aoi_ci95_high,max_aoi_mean,max_aoi_std,max_aoi_ci95_low,max_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,network_utility_mean,network_utility_std,network_utility_ci95_low,network_utility_ci95_high,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high
Entropy Threshold,30,0.6070116544563764,0.043343210033512575,0.5908270338430676,0.6231962750696852,0.3929883455436236,0.043343210033512575,0.3768037249303148,0.40917296615693244,11.19917333333333,1.4417980472991274,10.660797094505991,11.73754957216067,27.739687696356157,0.18685062212999023,27.66991652739575,27.809458865316564,0.20435960187303054,0.14443807039933948,0.15042554000441868,0.25829366374164237,5.560387731481482,0.8212088326360395,5.253743313815229,5.867032149147735,20.01166666666667,4.742701894950587,18.24071267427785,21.78262065905549,38.93333333333333,9.46475616143397,35.399135299734844,42.467531366931816,50.93333333333333,11.38339181419151,46.682704972792294,55.183961693874366,0.9535300925925926,0.02957219077483187,0.9424876550798891,0.9645725301052961,0.579765039412355,0.055964332819738304,0.558867614097892,0.6006624647268181,168.2209666666666,45.13588960989079,151.36694849829723,185.074984835036,0.22335069444444447,0.031338136341288715,0.21164884202004522,0.23505254686884372
Published QMIX,30,0.45645591734347757,0.04928294981492897,0.4380533614450416,0.47485847324191355,0.5435440826565223,0.04928294981492898,0.5251415267580863,0.5619466385549583,14.152506666666747,0.8238494822166788,13.844876214242056,14.460137119091439,27.739687696356157,0.1868506221299903,27.66991652739575,27.809458865316564,0.03609901528700601,0.03107428276178069,0.024495687408400656,0.04770234316561136,8.899537037037039,0.742278623221027,8.622365643941954,9.176708430132123,37.08500000000001,3.046954858222545,35.9472483575148,38.222751642485214,59.82222222222222,4.154795349154862,58.27079614187378,61.373648302570665,63.222222222222214,12.526854932835352,58.54461771602302,67.89982672842142,0.9141332304526749,0.035062162723655754,0.9010408037236508,0.927225657181699,0.4189252894402322,0.05710785748406368,0.39760086499857583,0.4402497138818886,21.938225925925916,40.97300843708278,6.638653134077796,37.23779871777404,0.29053819444444445,0.026310051623386864,0.2807138597098494,0.3003625291790395
Upgraded QMIX,30,0.566786903781312,0.04800359621569879,0.5488620663679122,0.5847117411947118,0.43321309621868787,0.04800359621569878,0.415288258805288,0.4511379336320877,12.984728888888942,1.104937831622093,12.572138321825063,13.39731945595282,27.739687696356157,0.1868506221299903,27.66991652739575,27.809458865316564,0.09514291576293625,0.08870518651182256,0.06201985475714986,0.12826597676872264,5.330536265432099,0.9256689481077227,4.98488579960226,5.676186731261938,21.64166666666667,6.107212227173663,19.36119614255592,23.92213719077742,43.322222222222216,8.27750648839308,40.23135050240125,46.41309394204318,62.177777777777784,11.271886614122531,57.96878614322295,66.38676941233263,0.9423096707818929,0.03325809860653853,0.9298908926653053,0.9547284488984804,0.5352805417231418,0.06078151057021872,0.5125843526747947,0.5579767307714888,123.18434074074074,44.48749661120719,106.5724364971108,139.79624498437067,0.26007908950617287,0.02670473040687636,0.2501073792917746,0.2700507997205711
