policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Published QMIX,101.0,2015,volatile,coordinated,9.133333333333386,0.44711538461538464,0.5528846153846154,15.845840000000099,27.583281782233133,0.03154006500803739,11.59548611111111,48.450000000000045,64.0,58.0,0.945601851851852,0.42279313568376076,313,378,0,65,774,378,0.328125
Published QMIX,101.0,2016,volatile,coordinated,30.656999999999993,0.48095238095238096,0.519047619047619,15.095840000000104,27.813263961036135,0.029246127916547092,10.862847222222221,47.0,69.0,70.0,0.9513888888888888,0.4575727513227513,298,378,0,80,774,378,0.328125
Published QMIX,101.0,2017,volatile,coordinated,-83.36833333333328,0.3575418994413408,0.6424581005586592,14.495840000000085,27.75036285078093,0.02003436623767183,10.078993055555555,42.0,68.0,76.0,0.8981481481481483,0.3211255948686117,286,353,0,67,799,353,0.3064236111111111
Published QMIX,101.0,2018,volatile,coordinated,-73.81866666666667,0.34594594594594597,0.654054054054054,15.445840000000118,28.00842583013536,0.037428150698860546,12.869791666666666,48.0,67.0,43.0,0.8831018518518519,0.30550550550550554,305,338,0,33,814,338,0.2934027777777778
Published QMIX,101.0,2019,volatile,coordinated,-10.71066666666669,0.4218181818181818,0.5781818181818181,15.945840000000143,27.551457754924428,0.01174305786405819,9.77951388888889,41.0,58.0,93.0,0.9108796296296295,0.3842255892255892,315,420,0,105,732,420,0.3645833333333333
Published QMIX,101.0,2020,volatile,coordinated,-24.739666666666597,0.4010416666666667,0.5989583333333333,17.79584000000017,27.36269375896255,0.01363907491632188,9.3203125,42.0,60.0,99.0,0.8492476851851851,0.3405837070794753,352,483,0,131,669,483,0.4192708333333333
Published QMIX,101.0,2021,volatile,coordinated,-23.519666666666616,0.3969465648854962,0.6030534351145038,16.245840000000126,27.56603775881028,0.014366828820696157,9.960069444444445,42.450000000000045,63.0,71.0,0.8657407407407407,0.34365281311846196,321,382,0,61,770,382,0.3315972222222222
Published QMIX,101.0,2022,volatile,coordinated,3.4699999999999847,0.4318181818181818,0.5681818181818181,16.79584000000014,27.904592827016245,0.009159890386063541,10.475694444444445,44.0,65.0,94.0,0.8923611111111112,0.38533775252525254,332,433,0,101,719,433,0.3758680555555556
Published QMIX,101.0,2023,volatile,coordinated,-12.843999999999962,0.44776119402985076,0.5522388059701493,14.845840000000063,27.61509607983241,0.021313590604598188,10.932291666666666,44.0,63.0,77.0,0.9305555555555556,0.4166666666666667,293,366,0,73,786,366,0.3177083333333333
Published QMIX,101.0,2024,volatile,coordinated,32.037666666666695,0.4881516587677725,0.5118483412322274,15.195840000000107,28.015527087936654,0.023561576244551442,10.519965277777779,45.0,63.0,88.0,0.9458912037037037,0.46173836010180797,300,386,0,86,766,386,0.3350694444444444
Published QMIX,101.0,2025,volatile,coordinated,-1.042000000000028,0.426056338028169,0.573943661971831,16.74584000000013,27.669576750162246,0.019095569410967173,10.75954861111111,47.0,68.0,72.0,0.8940972222222222,0.38093578834115804,331,411,0,80,741,411,0.3567708333333333
Published QMIX,101.0,2026,volatile,coordinated,-94.37933333333338,0.3557692307692308,0.6442307692307692,15.595840000000115,27.640208593707953,0.010197294278493339,10.112847222222221,42.0,66.0,86.0,0.8521412037037037,0.30316562054843305,308,390,0,82,762,390,0.3385416666666667
Published QMIX,101.0,2027,volatile,coordinated,-19.916333333333355,0.4180790960451977,0.5819209039548023,15.645840000000113,27.79103091221663,0.02195559606288724,10.30295138888889,44.0,60.0,56.0,0.9502314814814814,0.3972719188114668,309,375,0,66,777,375,0.3255208333333333
Published QMIX,101.0,2028,volatile,coordinated,-63.12733333333345,0.36464088397790057,0.6353591160220995,15.39584000000009,27.91245521842166,0.011388291178606076,10.41232638888889,43.0,66.0,62.0,0.9111689814814814,0.3322494628606507,304,354,0,50,798,354,0.3072916666666667
