comparator,metric,n_pairs,upgraded_engineering_advantage_mean,upgraded_engineering_advantage_std,upgraded_engineering_advantage_ci95_low,upgraded_engineering_advantage_ci95_high,statistic,p_value,paired_cohens_dz,test
Published QMIX,raw_episode_reward,30,101.24611481481483,21.126171427353672,93.35747275763734,109.13475687199232,26.249328296195927,9.248898554143255e-22,4.7924497423950525,two-sided one-sample t-test on paired seed differences
Published QMIX,event_recall,30,0.11033098643783443,0.02687612274432494,0.10029527727283954,0.12036669560282931,22.484928588354062,6.714135600916066e-20,4.105167530578104,two-sided one-sample t-test on paired seed differences
Published QMIX,total_energy_consumption,30,1.1677777777778087,0.4803002998471002,0.9884306983281459,1.3471248572274714,13.317048339253136,6.931354915011644e-14,2.4313492582652176,two-sided one-sample t-test on paired seed differences
Published QMIX,mean_aoi,30,3.569000771604939,0.7674393245776818,3.282434218218141,3.855567324991737,25.472010200117086,2.135259193599118e-21,4.6505315238686045,two-sided one-sample t-test on paired seed differences
Entropy Threshold,raw_episode_reward,30,-45.0366259259259,16.187032297695186,-51.08096312178685,-38.99228873006494,-15.239097247655414,2.2322947571689807e-15,-2.7822657728519204,two-sided one-sample t-test on paired seed differences
Entropy Threshold,event_recall,30,-0.04022475067506433,0.01817413840828556,-0.047011085487009246,-0.03343841586311941,-12.122722310021329,7.073508064797179e-13,-2.213296155856606,two-sided one-sample t-test on paired seed differences
Entropy Threshold,total_energy_consumption,30,-1.785555555555608,0.43805415551884924,-1.9491276654587335,-1.6219834456524824,-22.32575683018245,8.160841031510842e-20,-4.076106876421987,two-sided one-sample t-test on paired seed differences
Entropy Threshold,mean_aoi,30,0.22985146604938272,0.7202008921485346,-0.03907596677753866,0.4987788988763041,1.7480516089796119,0.09103645622005983,0.31914909930711116,two-sided one-sample t-test on paired seed differences
