policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Extended QMIX Replica Mean,101.0,231,volatile,coordinated,162.77066666666664,0.5949367088607594,0.40506329113924056,12.645840000000032,27.779923884375876,0.051624430345901896,4.1875,14.0,26.0,61.0,0.9710648148148149,0.5777221050164089,249,296,0,47,856,296,0.2569444444444444
Extended QMIX Replica Mean,101.0,232,volatile,coordinated,111.55333333333328,0.608433734939759,0.39156626506024095,11.895840000000032,27.84103183357636,0.24328157469994305,4.344618055555555,15.0,35.0,49.0,0.9768518518518517,0.5943496207050424,234,268,0,34,884,268,0.2326388888888889
Extended QMIX Replica Mean,101.0,233,volatile,coordinated,131.18933333333322,0.5601659751037344,0.43983402489626555,11.795839999999991,27.76600138356371,0.07317535881895555,5.017361111111111,19.0,33.0,57.0,0.9334490740740742,0.5228864107883818,232,274,0,42,878,274,0.2378472222222222
Extended QMIX Replica Mean,101.0,234,volatile,coordinated,154.5463333333334,0.6018099547511312,0.3981900452488688,11.645840000000002,27.57621091275903,0.03191299258115951,4.876736111111111,16.450000000000045,36.0,61.0,0.9603587962962963,0.5779534837439249,229,280,0,51,872,280,0.24305555555555555
Extended QMIX Replica Mean,101.0,235,volatile,coordinated,263.275,0.6865079365079365,0.3134920634920635,13.345840000000079,27.80539837833428,0.04202316891160283,4.135416666666667,15.0,26.0,71.0,0.984375,0.67578125,263,315,0,52,837,315,0.2734375
Extended QMIX Replica Mean,101.0,236,volatile,coordinated,141.17999999999998,0.6824324324324325,0.31756756756756754,10.545839999999911,27.92825839125288,0.20773975021540397,4.887152777777778,16.0,28.0,49.0,0.9965277777777778,0.6800628753753754,207,242,0,35,910,242,0.21006944444444445
Extended QMIX Replica Mean,101.0,237,volatile,coordinated,225.8786666666666,0.6447876447876448,0.35521235521235517,13.245840000000014,27.56955416926412,0.02106881712232706,4.453125,17.0,30.0,72.0,0.9710648148148149,0.626130594880595,261,327,0,66,825,327,0.2838541666666667
Extended QMIX Replica Mean,101.0,238,volatile,coordinated,137.51399999999998,0.6052631578947368,0.39473684210526316,11.545839999999977,27.36188790909703,0.047818493936534666,4.880208333333333,17.0,40.0,51.0,0.9618055555555556,0.5821454678362573,227,259,0,32,893,259,0.2248263888888889
Extended QMIX Replica Mean,101.0,239,volatile,coordinated,192.2433333333334,0.6228070175438597,0.3771929824561403,12.595840000000068,27.57947780691666,0.036081267878326106,4.206597222222222,14.0,32.0,50.0,0.9673032407407407,0.6024432464262508,248,285,0,37,867,285,0.24739583333333334
Extended QMIX Replica Mean,101.0,240,volatile,coordinated,145.84433333333334,0.5276872964169381,0.4723127035830619,12.595840000000063,27.860860678569093,0.26960533369014045,5.077256944444445,19.0,35.0,60.0,0.8822337962962963,0.4655435667752443,248,289,0,41,863,289,0.2508680555555556
Extended QMIX Replica Mean,101.0,241,volatile,coordinated,87.6636666666666,0.646551724137931,0.35344827586206895,10.495839999999902,27.61682441327482,0.19985353547584733,4.866319444444445,15.0,27.0,41.0,0.991898148148148,0.6413134578544061,206,234,0,28,918,234,0.203125
Extended QMIX Replica Mean,101.0,242,volatile,coordinated,8.238000000000003,0.4603174603174603,0.5396825396825398,9.545839999999952,27.73127976382555,0.36337674051943414,7.021701388888889,27.0,53.0,36.0,0.9444444444444444,0.43474426807760136,187,207,0,20,945,207,0.1796875
Extended QMIX Replica Mean,101.0,243,volatile,coordinated,122.43533333333336,0.6219512195121951,0.3780487804878049,11.445840000000064,27.815261722919768,0.2687717949936275,4.335069444444445,14.0,25.0,49.0,0.972511574074074,0.6048547594850948,225,252,0,27,900,252,0.21875
Extended QMIX Replica Mean,101.0,244,volatile,coordinated,169.0093333333333,0.5653710247349824,0.43462897526501765,12.44584000000001,27.37427618221052,0.09271786716836046,6.052951388888889,28.0,49.0,60.0,0.9317129629629631,0.5267635126292372,245,289,0,44,863,289,0.2508680555555556
Extended QMIX Replica Mean,101.0,245,volatile,coordinated,173.52166666666665,0.70625,0.29374999999999996,11.29584000000013,27.737362871490056,0.44103823676531023,4.758680555555555,15.0,32.0,46.0,0.9936342592592593,0.7017541956018519,222,257,0,35,895,257,0.2230902777777778
Extended QMIX Replica Mean,101.0,246,volatile,coordinated,155.59033333333326,0.6536312849162011,0.34636871508379885,11.095840000000015,27.605630264313902,0.27864333077737574,6.044270833333333,25.450000000000045,51.0,50.0,0.9681712962962964,0.6328270484171323,218,253,0,35,899,253,0.21961805555555555
Extended QMIX Replica Mean,101.0,247,volatile,coordinated,194.38,0.5864406779661017,0.41355932203389834,13.595840000000099,27.792471948840003,0.12059618344457708,3.5460069444444446,11.0,21.0,72.0,0.9505208333333334,0.557424081920904,268,333,0,65,819,333,0.2890625
