policy,n_environment_seeds,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high
Battery + Entropy,20,152.39418333333333,52.78173702165458,127.69157001133136,177.0967966553353,0.6023456272372636,0.06197117822109121,0.5733422230469766,0.6313490314275506,10.640839999999976,1.0584124158877672,10.14548774143079,11.136192258569162,5.811284722222221,1.0269391461690482,5.330662407298535,6.291907037145908,48.1,10.16133020716025,43.3443510746591,52.8556489253409,0.9552806712962962,0.02805723293067048,0.9421494820804631,0.9684118605121294,208.9,21.16824831775424,198.9929548286168,218.8070451713832,243.7,31.296712455564975,229.05268769721383,258.3473123027861,34.8,11.335087583530875,29.495015712875993,40.104984287124,0.21154513888888887,0.027167285117677933,0.19883045807049812,0.22425981970727962
Entropy Threshold,20,160.94113333333334,51.525279237324,136.82656035545654,185.05570631121014,0.613246993901627,0.054346412800905436,0.5878120897735593,0.6386818980296947,10.808339999999976,1.1041637702709974,10.291575448466215,11.325104551533737,5.629513888888889,0.9523661000371867,5.183792833885531,6.075234943892247,49.5,10.14370429587265,44.752600255067975,54.247399744932025,0.9595341435185185,0.026029188551268654,0.9473521082891043,0.9717161787479327,212.25,22.083275405418892,201.91470896932526,222.58529103067474,247.8,32.19610960479869,232.73175687427948,262.86824312572054,35.55,11.390092647837234,30.219272550354564,40.880727449645434,0.21510416666666665,0.027948011809721084,0.20202409450892314,0.22818423882441016
Extended QMIX Replica Mean,20,151.75668888888887,52.77290953952168,127.05820695569753,176.45517082208022,0.606633053560059,0.05803292045390023,0.5794728107410125,0.6337932963791055,11.759173333333345,1.0425957260382843,11.271223513475594,12.247123153191097,5.138874421296296,0.9404336261643128,4.698737935969673,5.579010906622919,54.46666666666666,10.717750484061312,49.4506050357119,59.48272829762142,0.9597270447530863,0.026911959634330917,0.9471318599392281,0.9723222295669446,231.26666666666665,20.851914520764904,221.50767026951195,241.02566306382136,272.03333333333336,31.52051221123286,257.2812795207414,286.7853871459253,40.766666666666666,12.119820893046736,35.09441588549166,46.438917447841675,0.23614004629629637,0.027361555738917395,0.2233344440284214,0.24894564856417134
Greedy,20,-180.6132666666667,54.5448648023906,-206.1410491904123,-155.0854841429211,0.33976270121579194,0.06865259760797862,0.3076322964971082,0.37189310593447567,19.305840000000185,0.2678373426265846,19.180488265073716,19.431191734926653,8.948524305555555,0.4922113985451793,8.718162280032315,9.178886331078795,184.6,3.37794705639231,183.01907211348464,186.18092788651535,0.8934751157407405,0.04279486911050332,0.8734465004761701,0.9135037310053108,382.2,5.356746852531418,379.69296530147074,384.70703469852924,736.6,10.693825075100213,731.5951358051185,741.6048641948815,354.4,6.385839597767943,351.4113350711578,357.38866492884216,0.6394097222222221,0.009282834266580038,0.6350652220530542,0.6437542223913901
QMIX Majority Ensemble,20,152.03291666666667,51.92695283326614,127.73035465921045,176.3354786741229,0.6067844391215329,0.05729213780025712,0.5799708932564174,0.6335979849866484,11.725840000000012,1.0299974450658536,11.243786357133484,12.20789364286654,5.139800347222222,0.9083024361408966,4.714701721721973,5.564898972722471,54.05,10.782417461580193,49.00367329194677,59.096326708053226,0.9597366898148147,0.026886586235017575,0.947153380117375,0.9723199995122545,230.6,20.599948901316285,220.95892714266978,240.2410728573302,271.35,31.42790412825419,256.64128810439297,286.0587118956071,40.75,12.35814242556406,34.96621130824681,46.53378869175319,0.23554687499999996,0.027281166777998425,0.2227788959239522,0.24831485407604773
QMIX Unanimous Ensemble,20,155.94968333333333,53.85227507804643,130.74604277831918,181.15332388834747,0.6100861893271761,0.05759872828994387,0.5831291546960158,0.6370432239583363,11.53084,1.0785101810026687,11.026081697820196,12.035598302179803,5.265407986111112,0.9721633931576689,4.81042151271925,5.720394459502973,53.05,10.644865330042315,48.06804967114026,58.031950328859736,0.9605758101851853,0.026690773679275224,0.948084143584791,0.9730674767855797,226.7,21.57020362005251,216.60483395640432,236.79516604359566,266.2,31.793081008294873,251.32038006364243,281.0796199363575,39.5,11.713689696922549,34.017824469507666,44.982175530492334,0.23107638888888885,0.027598160597478185,0.21816005213857848,0.24399272563919921
