policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Entropy Threshold,232,125.61166666666665,0.6265060240963856,10.745840000000022,4.84375,45.0,0.9745370370370369,211.0,240.0,29.0,0.20833333333333334
Entropy Threshold,233,147.45666666666656,0.5726141078838174,10.995839999999943,4.871527777777778,55.0,0.9432870370370369,216.0,256.0,40.0,0.2222222222222222
Entropy Threshold,234,170.82766666666663,0.6153846153846154,11.19583999999999,5.078993055555555,52.0,0.9615162037037036,220.0,268.0,48.0,0.2326388888888889
Entropy Threshold,235,244.5926666666666,0.6626984126984127,11.89584000000002,4.426215277777778,61.0,0.9641203703703705,234.0,280.0,46.0,0.24305555555555555
Entropy Threshold,236,150.16799999999995,0.6959459459459459,9.295839999999892,5.845486111111111,49.0,0.9965277777777778,182.0,211.0,29.0,0.1831597222222222
Entropy Threshold,237,241.51566666666668,0.6563706563706564,12.345840000000003,5.412326388888889,65.0,0.9701967592592593,243.0,297.0,54.0,0.2578125
Entropy Threshold,238,144.98799999999994,0.6105263157894737,10.595839999999951,5.249131944444445,45.0,0.9583333333333334,208.0,235.0,27.0,0.20399305555555555
Entropy Threshold,239,203.61100000000005,0.631578947368421,11.845840000000013,4.8984375,45.0,0.9696180555555556,233.0,265.0,32.0,0.2300347222222222
Entropy Threshold,240,160.3303333333334,0.5374592833876222,11.745840000000067,5.395833333333333,57.0,0.8831018518518517,231.0,263.0,32.0,0.2282986111111111
Entropy Threshold,241,90.87366666666665,0.646551724137931,9.345839999999837,5.8125,36.0,0.9884259259259258,183.0,206.0,23.0,0.17881944444444445
Entropy Threshold,242,23.823333333333327,0.48412698412698413,8.345839999999814,7.328125,33.0,0.9490740740740742,163.0,181.0,18.0,0.15711805555555555
Entropy Threshold,243,136.92699999999994,0.6341463414634146,9.895840000000009,5.881076388888889,41.0,0.9782986111111112,194.0,216.0,22.0,0.1875
Entropy Threshold,244,185.64233333333326,0.5795053003533569,11.645839999999989,6.369791666666667,56.0,0.9282407407407409,229.0,269.0,40.0,0.23350694444444445
Entropy Threshold,245,181.6386666666667,0.7125,10.395840000000092,5.264756944444445,40.0,0.9936342592592593,204.0,235.0,31.0,0.20399305555555555
Entropy Threshold,246,160.54033333333336,0.6536312849162011,9.945839999999954,6.091145833333333,47.0,0.9699074074074076,195.0,223.0,28.0,0.1935763888888889
Entropy Threshold,247,223.05600000000004,0.6101694915254238,12.745840000000078,3.9618055555555554,72.0,0.9600694444444444,251.0,314.0,63.0,0.2725694444444444
Entropy Threshold,248,124.86933333333334,0.5428571428571428,10.445839999999949,7.891493055555555,49.0,0.9230324074074073,205.0,235.0,30.0,0.20399305555555555
Entropy Threshold,249,129.1459999999999,0.5808080808080808,10.29583999999995,6.670138888888889,36.0,0.9539930555555556,202.0,235.0,33.0,0.20399305555555555
Entropy Threshold,250,201.08566666666678,0.6124031007751938,11.195839999999976,6.198784722222222,58.0,0.9641203703703705,220.0,265.0,45.0,0.2300347222222222
Extended QMIX Replica Mean,231,166.10899999999995,0.5977496483825598,12.429173333333347,4.560763888888889,58.666666666666664,0.9710648148148149,244.66666666666666,293.3333333333333,48.666666666666664,0.2546296296296296
Extended QMIX Replica Mean,232,114.99511111111106,0.6144578313253012,11.695840000000025,4.520543981481482,49.666666666666664,0.9772376543209876,230.0,264.3333333333333,34.333333333333336,0.22945601851851852
Extended QMIX Replica Mean,233,129.98722222222213,0.5587828492392808,11.92917333333333,5.024305555555556,57.0,0.9345100308641975,234.66666666666666,277.3333333333333,42.666666666666664,0.24074074074074073
Extended QMIX Replica Mean,234,158.98233333333343,0.6063348416289592,11.562506666666666,4.930555555555555,60.0,0.9615162037037036,227.33333333333334,278.3333333333333,51.0,0.24160879629629628
Extended QMIX Replica Mean,235,264.56033333333335,0.6878306878306878,13.245840000000078,4.149305555555556,70.66666666666667,0.9832175925925926,261.0,312.0,51.0,0.2708333333333333
Extended QMIX Replica Mean,236,141.44199999999998,0.6824324324324325,10.462506666666584,4.920138888888889,48.666666666666664,0.9965277777777778,205.33333333333334,240.66666666666666,35.333333333333336,0.20891203703703706
Extended QMIX Replica Mean,237,223.93833333333328,0.6435006435006435,13.212506666666679,4.516493055555556,72.0,0.9681712962962964,260.3333333333333,325.6666666666667,65.33333333333333,0.28269675925925924
Extended QMIX Replica Mean,238,140.12266666666665,0.6087719298245614,11.479173333333309,4.90162037037037,50.666666666666664,0.9618055555555557,225.66666666666666,257.6666666666667,32.0,0.22366898148148148
Extended QMIX Replica Mean,239,193.0373333333334,0.6242690058479532,12.645840000000064,4.385416666666667,50.333333333333336,0.9673032407407408,249.0,285.0,36.0,0.24739583333333334
Extended QMIX Replica Mean,240,147.85644444444446,0.5298588490770901,12.629173333333398,5.046875,60.666666666666664,0.8826195987654321,248.66666666666666,290.3333333333333,41.666666666666664,0.25202546296296297
Extended QMIX Replica Mean,241,86.47833333333328,0.6436781609195402,10.412506666666564,4.911458333333333,41.333333333333336,0.991898148148148,204.33333333333334,232.0,27.666666666666668,0.20138888888888892
Extended QMIX Replica Mean,242,11.532111111111108,0.4656084656084656,9.462506666666606,6.922164351851852,35.666666666666664,0.9459876543209876,185.33333333333334,204.66666666666666,19.333333333333332,0.17766203703703706
