candidate,comparator,metric,engineering_advantage_mean,ci95_low,ci95_high,statistic,p_value,paired_cohens_dz,p_value_holm,reward_p_holm
QMIX Majority Ensemble,Extended QMIX Replica Mean,raw_episode_reward,0.27622777777778235,-0.7022085742145379,1.2546641297701024,0.5908931962793522,0.5615560533481957,0.1321277354322757,1.0,0.5615560533481957
QMIX Majority Ensemble,Extended QMIX Replica Mean,event_recall,0.00015138556147376026,-0.0008846037012595414,0.001187374824207062,0.3058464339859251,0.763047388499922,0.06838934170684303,1.0,
QMIX Majority Ensemble,Extended QMIX Replica Mean,total_energy_consumption,0.03333333333333357,0.0024418115645805233,0.06422485510208661,2.2584665463404803,0.03587013931995518,0.5050084722526493,0.32283125387959666,
QMIX Majority Ensemble,Extended QMIX Replica Mean,mean_aoi,-0.0009259259259258634,-0.04527464384984243,0.0434227919979907,-0.043698788291645134,0.9656004933947041,-0.009771346115449043,1.0,
QMIX Majority Ensemble,Extended QMIX Replica Mean,redundant_sampling,0.4166666666666668,0.09306924903438435,0.7402640842989492,2.694994794409821,0.014343280018001265,0.602619155930843,0.14343280018001264,
QMIX Majority Ensemble,Extended QMIX Replica Mean,network_coverage,9.645061728391634e-06,-0.0004215630599232284,0.00044085318338001164,0.04681578381792713,0.9631486307610504,0.01046832750368197,1.0,
QMIX Majority Ensemble,Entropy Threshold,raw_episode_reward,-8.908216666666657,-13.050910387850383,-4.765522945482931,-4.500721757409256,0.00024478327584100514,-1.0063919797379415,0.003671749137615077,
QMIX Majority Ensemble,Entropy Threshold,event_recall,-0.006462554780094118,-0.010802073539611216,-0.00212303602057702,-3.117000607038184,0.005675805143015322,-0.6969825243245491,0.062433856573168536,
QMIX Majority Ensemble,Entropy Threshold,total_energy_consumption,-0.9175000000000354,-1.034448165713704,-0.8005518342863669,-16.42051893846209,1.109321673668116e-12,-3.6717396572223926,2.6623720168034784e-11,
QMIX Majority Ensemble,Entropy Threshold,mean_aoi,0.4897135416666666,0.28951077220775867,0.6899163111255745,5.119720497613789,6.0890753088206665e-05,1.1448043058463484,0.0010351428024995132,
QMIX Majority Ensemble,Entropy Threshold,redundant_sampling,-4.55,-6.02589638629162,-3.0741036137083793,-6.452525757235721,3.4813697177314993e-06,-1.4428286219747377,6.962739435462998e-05,
QMIX Majority Ensemble,Entropy Threshold,network_coverage,0.00020254629629629095,-0.002978849887309052,0.003383942479901634,0.1332541581787599,0.8953936120777527,0.02979653559722167,1.0,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,raw_episode_reward,4.192994444444429,2.575564653501452,5.810424235387407,5.425916031326516,3.098332584991498e-05,1.2132717086251965,0.0005576998652984696,6.196665169982996e-05
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,event_recall,0.0034531357671170105,0.0019393747080610078,0.004966896826173013,4.774529097888627,0.00013180942032202026,1.067617162342972,0.002108950725152324,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,total_energy_consumption,0.22833333333334477,0.17566612964202807,0.28100053702466143,9.07409403945086,2.4578262978269917e-08,2.029029110643778,5.407217855219382e-07,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,mean_aoi,-0.12653356481481465,-0.19150003921125391,-0.06156709041837537,-4.076530199735684,0.000643316400846846,-0.9115398638939785,0.009006429611855844,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,redundant_sampling,1.4166666666666667,0.9905557110946601,1.8427776222386734,6.958557088567296,1.245965682234913e-06,1.5559806675349497,2.6165279326933173e-05,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,network_coverage,0.0008487654320987581,-3.3201412453118815e-05,0.001730732276650635,2.0142327083004883,0.05836370638499408,0.45039612582633964,0.46690965107995264,
QMIX Unanimous Ensemble,Entropy Threshold,raw_episode_reward,-4.991450000000011,-8.22512140737368,-1.7577785926263427,-3.230762684345046,0.0043998038460967585,-0.7224204981365219,0.0527976461531611,
QMIX Unanimous Ensemble,Entropy Threshold,event_recall,-0.0031608045744508676,-0.006914656004871504,0.0005930468559697684,-1.7623606389952868,0.0940886892044514,-0.39407581896634275,0.6586208244311598,
QMIX Unanimous Ensemble,Entropy Threshold,total_energy_consumption,-0.7225000000000243,-0.8315940741265795,-0.6134059258734692,-13.86152173174693,2.1878031227410976e-11,-3.099530486377674,5.031947182304525e-10,
QMIX Unanimous Ensemble,Entropy Threshold,mean_aoi,0.3641059027777778,0.17678373438915257,0.551428071166403,4.0682980526090144,0.0006555250661453729,0.9096990998363773,0.009006429611855844,
QMIX Unanimous Ensemble,Entropy Threshold,redundant_sampling,-3.55,-4.730824505976461,-2.3691754940235388,-6.292412933118454,4.853178456358942e-06,-1.4070263060951702,9.22103906708199e-05,
QMIX Unanimous Ensemble,Entropy Threshold,network_coverage,0.0010416666666666573,-0.0016568962831199218,0.0037402296164532364,0.8079238582079634,0.42913426403143534,0.18065726675969074,1.0,
