policy,comparator,metric,n_pairs,advantage_mean,advantage_std,test,assumption,statistic,p_value,paired_cohens_dz,statistically_supported_0.05,practical_threshold_5pct_comparator,absolute_practically_meaningful,practical_outcome
IQL,Battery + Entropy,raw_episode_reward,30,-202.93247777777782,23.81680506152264,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-46.66902023264019,7.750472559588886e-29,-8.52055837269401,True,8.980781666666669,True,learned disadvantage
IQL,Battery + Entropy,event_recall,30,-0.23281402132261297,0.04114179641002384,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-30.994633756637644,8.774273399180655e-24,-5.658820023373842,True,0.03662197868577841,True,learned disadvantage
IQL,Battery + Entropy,total_energy_consumption,30,-16.45611111111147,0.6195333080599366,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-145.48666144508823,4.380794057207349e-43,-26.562108763197323,True,0.5822086666666674,True,learned disadvantage
IQL,Battery + Entropy,mean_aoi,30,-9.815239197530863,0.6367324075508214,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-84.4315108206184,3.0088144496714038e-36,-15.415014346898074,True,0.2958434606481481,True,learned disadvantage
VDN,Battery + Entropy,raw_episode_reward,30,-170.1106333333334,24.476823797177694,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-38.06598107671972,2.602747135238171e-26,-6.949865503094729,True,8.980781666666669,True,learned disadvantage
VDN,Battery + Entropy,event_recall,30,-0.19823490045085956,0.041369422172974755,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-26.245889103246157,9.282730654613816e-22,-4.7918218345423185,True,0.03662197868577841,True,learned disadvantage
VDN,Battery + Entropy,total_energy_consumption,30,-12.9911111111114,0.534727583692103,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-133.06821678211472,5.802839045728307e-42,-24.294821339517245,True,0.5822086666666674,True,learned disadvantage
VDN,Battery + Entropy,mean_aoi,30,-7.595167824074074,0.6989079460778326,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-59.52206966065204,7.184981828197238e-32,-10.867193407510998,True,0.2958434606481481,True,learned disadvantage
QMIX,Battery + Entropy,raw_episode_reward,30,-182.60584444444447,24.267918608404884,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-41.21381060667556,2.7061959829565526e-27,-7.5245779166739615,True,8.980781666666669,True,learned disadvantage
QMIX,Battery + Entropy,event_recall,30,-0.2131274897058376,0.04124247343328363,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-28.304493891515655,1.1252704108962188e-22,-5.167669927716769,True,0.03662197868577841,True,learned disadvantage
QMIX,Battery + Entropy,total_energy_consumption,30,-13.727222222222531,0.5247054151323813,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-143.29391399744807,6.8008508264581826e-43,-26.16176968320253,True,0.5822086666666674,True,learned disadvantage
QMIX,Battery + Entropy,mean_aoi,30,-8.373765432098763,0.6563752099098256,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-69.87619503557411,7.081614402103863e-34,-12.75758941787148,True,0.2958434606481481,True,learned disadvantage
