policy,training_seed,event_recall_mean,event_recall_std,missed_event_rate_mean,missed_event_rate_std,total_energy_consumption_mean,total_energy_consumption_std,harvested_energy_mean,harvested_energy_std,final_battery_mean,final_battery_std,mean_aoi_mean,mean_aoi_std,p95_aoi_mean,p95_aoi_std,max_aoi_mean,max_aoi_std,redundant_sampling_mean,redundant_sampling_std,network_coverage_mean,network_coverage_std,network_utility_mean,network_utility_std,raw_episode_reward_mean,raw_episode_reward_std,sample_action_fraction_mean,sample_action_fraction_std
Always Sample,,0.49844912848117884,0.04051916729430881,0.5015508715188212,0.040519167294308815,28.959173333333716,0.24876707473310894,27.75526865504257,0.1832212005941032,0.016788268079033018,0.005995251926089449,15.866724537037037,0.3106868507667298,60.260000000000005,0.6918740168357321,69.63333333333334,0.7648904962570555,546.0333333333333,5.786329509749844,0.7559606481481481,0.02494990913145806,0.3774987392238484,0.04092324945268566,-25.957700000000013,28.847766038112113,0.499363425925926,0.004318872825227466
Always Sleep,,0.0,0.0,1.0,0.0,0.1958400000000021,0.0,27.75526865504257,0.1832212005941032,0.9875899999999997,0.0,144.5,0.0,274.0,0.0,288.0,0.0,0.0,0.0,0.4746527777777778,0.03413232142092153,0.0,0.0,-349.1999999999981,22.48585762437013,0.0,0.0
Battery + Entropy,,0.7324395737155682,0.045187150222774496,0.2675604262844319,0.045187150222774496,11.64417333333335,0.7071657042966469,27.75526865504257,0.1832212005941032,0.17255850840150747,0.053634137115054915,5.916869212962963,0.7662751948657787,21.735000000000014,4.299622076415554,44.8,9.064519691708949,49.7,6.853893934761869,0.8923225308641975,0.0278959831514051,0.6546971647205174,0.060232531777538706,179.61563333333336,26.542528399277202,0.19875578703703703,0.012277182366260748
Entropy Threshold,,0.7480286474138098,0.04610493596765231,0.2519713525861901,0.04610493596765232,11.88750666666669,0.7087000403037089,27.75526865504257,0.1832212005941032,0.15384322015343563,0.0593441588000186,5.5450231481481485,0.6729454967212101,19.78166666666667,3.791425974424429,40.53333333333333,9.039123139245135,50.93333333333333,6.9278714118299405,0.9006172839506174,0.027607608776193795,0.674816678705136,0.06146824499490284,190.28066666666666,26.87363779814238,0.20298032407407407,0.012303820144161101
Fixed Interval,,0.08277822348614973,0.016479235665078234,0.9172217765138503,0.016479235665078234,4.995839999999857,0.0,27.75526865504257,0.1832212005941032,0.6696523102576558,0.00033120169984994665,5.4375,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.5998360339506174,0.030284957338358034,0.049800643384583204,0.010814351248483598,-255.25466666666657,21.718053563215584,0.08333333333333333,0.0
Greedy,,0.49643251364294366,0.0491303983640984,0.5035674863570564,0.049130398364098424,22.714173333333626,1.4503556836843392,27.75526865504257,0.1832212005941032,0.018671136522064424,0.008811614731449584,14.513049768518519,0.5493817924094587,56.260000000000005,1.507246862145772,69.33333333333333,0.7580980435789025,228.46666666666667,69.4494275606772,0.7878279320987654,0.023000749647782603,0.39179153075513146,0.046887497933568494,-13.858800000000032,34.97580010610294,0.390943287037037,0.025179786175074964
IQL,101.0,0.49861579514784554,0.040557307267259556,0.5013842048521544,0.040557307267259556,28.959173333333716,0.24876707473310894,27.75526865504257,0.1832212005941032,0.016788268079033018,0.005995251926089449,15.861400462962964,0.3113883695789173,60.245000000000005,0.6924905078398369,69.63333333333334,0.7648904962570555,545.8333333333334,5.855049888378604,0.756076388888889,0.024904322490463888,0.3776818989460706,0.040929160955488465,-25.83613333333335,28.874721961023905,0.499363425925926,0.004318872825227466
IQL,102.0,0.4985465576124541,0.04109059085060189,0.501453442387546,0.0410905908506019,26.477506666667015,0.4572186026122743,27.75526865504257,0.1832212005941032,0.012410081413409492,0.005576422138899102,15.648524305555556,0.3396202478670084,59.43333333333333,0.773854362727667,69.2,0.6102571532587289,445.4,14.54268390540116,0.7599537037037037,0.023534746634919595,0.37951744517703306,0.04068774916559585,-20.72223333333338,29.54445445214231,0.4562789351851852,0.007937822962018502
IQL,103.0,0.5017143044185659,0.040704947109200786,0.49828569558143415,0.04070494710920078,28.864173333333717,0.2534191475950858,27.75526865504257,0.1832212005941032,0.01598817679983571,0.005834514778641951,15.686400462962963,0.364937363268328,59.771666666666675,0.8973796464624418,69.56666666666666,0.7279320417946054,538.7333333333333,6.180800825991279,0.758275462962963,0.023958203189718138,0.3811166761209927,0.04090387839383502,-23.392166666666682,29.055069372015677,0.4977141203703704,0.00439963797908123
QMIX,101.0,0.49844912848117884,0.04051916729430881,0.5015508715188212,0.040519167294308815,28.945840000000384,0.25154693810295026,27.75526865504257,0.1832212005941032,0.016788268079033018,0.005995251926089449,15.86701388888889,0.31084543293789446,60.260000000000005,0.6918740168357321,69.63333333333334,0.7648904962570555,545.5,5.8824695728802725,0.7559606481481481,0.02494990913145806,0.3774987392238484,0.04092324945268566,-25.931366666666683,28.82479514714219,0.4991319444444445,0.004367134342064969
QMIX,102.0,0.5297906097189712,0.039123720924706916,0.4702093902810288,0.039123720924706874,22.284173333333595,0.48560011456380453,27.75526865504257,0.1832212005941032,0.012988460671863636,0.006030346078161038,13.573148148148148,0.4112671306045436,54.42666666666667,0.9657704922382777,67.7,1.1188047809743373,263.43333333333334,12.631879029506736,0.7924189814814814,0.022930182900492316,0.4203762216202321,0.03983142616219476,11.11889999999998,28.38062595400917,0.3834780092592593,0.008430557544510268
QMIX,103.0,0.5296965138290417,0.03967802691921103,0.47030348617095824,0.03967802691921103,24.884173333333656,0.5352542633522814,27.75526865504257,0.1832212005941032,0.014692454131926576,0.007146828771768859,13.431741898148148,0.5582933097635658,54.39666666666667,1.347854830342706,67.36666666666666,1.751518224842099,351.93333333333334,20.52405373236962,0.7898533950617284,0.020531672025305356,0.4188147860487742,0.03854489972135599,5.84183333333332,28.02522354530587,0.42861689814814813,0.009292608738754687
Random Feasible,,0.3249507746860031,0.032189306220255225,0.6750492253139968,0.032189306220255204,19.11250666666685,0.5639046956243087,27.75526865504257,0.1832212005941032,0.01975662307524257,0.006034162730166011,9.037934027777776,0.7732179151747343,42.13833333333334,2.474305312933144,60.2,4.84518958029152,180.46666666666667,12.21286301358145,0.7857349537037037,0.02265597538995917,0.25572320223301576,0.030149599540840552,-119.7339333333333,24.02610151758568,0.32841435185185186,0.009790012076810635
VDN,101.0,0.5117814741822291,0.03866745923082784,0.48821852581777087,0.038667459230827844,28.197506666667035,0.3166318795169599,27.75526865504257,0.1832212005941032,0.016043069524411587,0.005530012682594817,15.133825231481483,0.38663969059858416,58.6,0.8136762043449727,69.0,0.694808333779652,502.3666666666667,8.759165970898557,0.764988425925926,0.022847034799333744,0.3920816686367307,0.03872120279734985,-14.584033333333345,27.756183532848937,0.4861400462962963,0.0054970812416137264
VDN,102.0,0.5335348891612776,0.04058338369718605,0.46646511083872244,0.04058338369718603,22.610840000000266,0.5324228938832838,27.75526865504257,0.1832212005941032,0.013450168746882287,0.006148917434666028,13.368836805555556,0.48348844961170717,54.01166666666667,1.1744905963521062,66.33333333333333,1.844532149509658,287.96666666666664,11.382028585126804,0.7875578703703704,0.02169219419944183,0.4207290516785986,0.04037516156029467,13.206599999999968,29.264358346300515,0.38914930555555555,0.009243453018806747
VDN,103.0,0.5572976564506192,0.03808742854667498,0.4427023435493807,0.038087428546674976,23.097506666666945,0.706555917368074,27.75526865504257,0.1832212005941032,0.015352038369526387,0.006951079929953149,12.033449074074074,0.8167333020936474,50.64166666666667,2.0907053476218778,65.2,2.631375672729852,293.1,21.91260068922712,0.7996913580246914,0.021544429364356896,0.4461907112587769,0.03939979062549767,29.892433333333322,26.536211071800096,0.39759837962962963,0.012266595787639873
