policy,comparator,metric,n_pairs,advantage_mean,advantage_std,test,assumption,statistic,p_value,paired_cohens_dz,statistically_supported_0.05,practical_threshold_5pct_comparator,absolute_practically_meaningful,practical_outcome
QMIX,Battery + Entropy,total_energy_consumption,30,-3.230000000000086,0.6864925568798056,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-25.770765363905962,1.5438512164909936e-21,-4.705076504661376,True,0.5342919999999988,True,learned disadvantage
QMIX,Battery + Entropy,mean_aoi,30,-3.1292920524691357,0.7984697163169462,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-21.465859144476724,2.3938103368324726e-19,-3.919111756552816,True,0.29730034722222215,True,learned disadvantage
IQL,Entropy Threshold,raw_episode_reward,30,-164.06418888888885,41.443443020875605,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-21.68296130414849,1.817795984504046e-19,-3.958749006597921,True,7.951627222222221,True,learned disadvantage
IQL,Entropy Threshold,event_recall,30,-0.16774987849821532,0.04852763613807957,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-18.933622113961768,7.209189196819199e-18,-3.45679064236517,True,0.030563669978950377,True,learned disadvantage
IQL,Entropy Threshold,total_energy_consumption,30,-4.3944444444445505,0.7415595729646265,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-32.45776115198708,2.388029123971398e-24,-5.92594931635273,True,0.5437919999999993,True,learned disadvantage
IQL,Entropy Threshold,mean_aoi,30,-2.8956500771604943,0.7667747019244835,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-20.68420961100745,6.584663538258311e-19,-3.7764027293713127,True,0.2849189814814814,True,learned disadvantage
VDN,Entropy Threshold,raw_episode_reward,30,-156.14832222222222,40.982818030935725,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-20.868735364448916,5.169999619617268e-19,-3.810092368571489,True,7.951627222222221,True,learned disadvantage
VDN,Entropy Threshold,event_recall,30,-0.15554269651066194,0.047512643924730064,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-17.93085724066105,3.0974831822943137e-17,-3.273711662038299,True,0.030563669978950377,True,learned disadvantage
VDN,Entropy Threshold,total_energy_consumption,30,-4.312222222222318,0.7606199998445531,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-31.052317643092703,8.326380510640511e-24,-5.6693516119791765,True,0.5437919999999993,True,learned disadvantage
VDN,Entropy Threshold,mean_aoi,30,-1.9649402006172842,0.8425851952678763,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-12.773094970944179,1.958788505641825e-13,-2.332037414913974,True,0.2849189814814814,True,learned disadvantage
QMIX,Entropy Threshold,raw_episode_reward,30,-134.65029999999996,35.77140690428011,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-20.617306689162792,7.191541439552657e-19,-3.764187982885538,True,7.951627222222221,True,learned disadvantage
QMIX,Entropy Threshold,event_recall,30,-0.14450414515993357,0.04469933505289443,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-17.706791356837304,4.330651679022007e-17,-3.232803015725766,True,0.030563669978950377,True,learned disadvantage
QMIX,Entropy Threshold,total_energy_consumption,30,-3.0400000000000813,0.7626154833721696,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-21.83376303157437,1.503597904258138e-19,-3.986281509205221,True,0.5437919999999993,True,learned disadvantage
QMIX,Entropy Threshold,mean_aoi,30,-3.3769193672839504,0.6989254403632883,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-26.46369420143153,7.372708153876728e-22,-4.831587423014236,True,0.2849189814814814,True,learned disadvantage
