policy,n_environment_seeds,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,missed_event_rate_mean,missed_event_rate_std,missed_event_rate_ci95_low,missed_event_rate_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,harvested_energy_mean,harvested_energy_std,harvested_energy_ci95_low,harvested_energy_ci95_high,final_battery_mean,final_battery_std,final_battery_ci95_low,final_battery_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,p95_aoi_mean,p95_aoi_std,p95_aoi_ci95_low,p95_aoi_ci95_high,max_aoi_mean,max_aoi_std,max_aoi_ci95_low,max_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,network_utility_mean,network_utility_std,network_utility_ci95_low,network_utility_ci95_high,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high
Always Sample,30,0.33567060450744646,0.06504313217585268,0.31138309979901485,0.35995810921587806,0.6643293954925535,0.0650431321758527,0.6400418907841219,0.6886169002009852,19.41084000000019,0.25056831954304765,19.31727625180565,19.504403748194726,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.019973077857359064,0.0032989984090898566,0.018741211606249704,0.021204944108468425,8.744618055555554,0.5013309412357793,8.5574180055514,8.931818105559708,41.15666666666667,1.4759995639036256,40.60551937165278,41.707813961680564,56.3,3.030306687563101,55.16846488660482,57.43153511339517,185.76666666666668,4.141325236279285,184.2202704091288,187.31306292420456,0.894753086419753,0.0378399483147087,0.8806234175044315,0.9088827553350746,0.3023906122730583,0.06911038740281018,0.27658436950311927,0.32819685504299734,-184.32254444444442,54.381991884955,-204.6291139434158,-164.01597494547303,0.6424189814814815,0.009519813913703346,0.6388642245453094,0.6459737384176535,384.3,5.011366390860708,382.4287250361093,386.1712749638907,740.0666666666667,10.966825628586244,735.9715866761966,744.1617466571369,355.76666666666665,6.790883002527948,353.2309092795164,358.3024240538169
Always Sleep,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.19584000000000212,2.823006427041851e-17,0.19584000000000212,0.19584000000000212,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.9875899999999999,1.1292025708167404e-16,0.9875899999999999,0.9875899999999999,144.5,0.0,144.5,144.5,274.0,0.0,274.0,274.0,288.0,0.0,288.0,288.0,0.0,0.0,0.0,0.0,0.6805555555555557,0.06747075545475045,0.6553615614170468,0.7057495496940646,0.0,0.0,0.0,0.0,-366.9999999999982,72.42475286520624,-394.043847173055,-339.9561528269414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery + Entropy,30,0.5982000078826066,0.055344375589748585,0.5775340784023493,0.618865937362864,0.40179999211739337,0.05534437558974859,0.38113406263713606,0.4224659215976507,10.580839999999988,1.150273580651544,10.151320786033988,11.010359213965987,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.2613733115415407,0.13248383969463154,0.21190303277828892,0.31084359030479247,5.784577546296295,0.9016226654511088,5.447906109976656,6.121248982615934,20.30833333333334,4.002845611375212,18.81364621755061,21.803020449116072,38.5,8.830784711490233,35.202530796339936,41.797469203660064,45.63333333333333,8.409696100677309,42.49310120106976,48.7735654655969,0.957417052469136,0.021700668268864205,0.9493138897657903,0.9655202151724817,0.5736357922109174,0.06329452970054936,0.5500012263975145,0.5972703580243204,147.65434444444446,46.30295666324663,130.3645362763438,164.9441526125451,0.20934606481481483,0.027295680408067378,0.19915369024345464,0.219538439386175,207.7,23.005471613030043,199.1096157206803,216.29038427931968,241.16666666666666,31.444623830093626,229.4250511604597,252.9082821728736,33.46666666666667,10.054106497907428,29.712401600728544,37.22093173260479
Entropy Threshold,30,0.6091311996845007,0.05259798550805086,0.5894907891146809,0.6287716102543205,0.39086880031549925,0.05259798550805086,0.37122838974567945,0.41050921088531905,10.744173333333329,1.189500281437686,10.30000662856901,11.188340038097648,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.25016769088443724,0.14408760171294147,0.19636449617406798,0.3039708855948065,5.617968749999999,0.9094758803900892,5.278364875028864,5.957572624971134,19.460000000000004,3.858541800678886,18.019196812688858,20.90080318731115,37.43333333333333,9.231443019912165,33.9862558585654,40.88041080810126,46.9,8.687486045635033,43.65603939755952,50.14396060244048,0.9621624228395064,0.020312372554782195,0.9545776582754338,0.9697471874035789,0.5868716938324666,0.06019918323887784,0.5643929493832442,0.609350438281689,156.32244444444444,46.20450271529072,139.0693995846986,173.57548930419028,0.21299189814814817,0.028457437468446777,0.20236571636102024,0.2236180799352761,210.96666666666667,23.79000562875284,202.08333257138062,219.8500007619527,245.36666666666667,32.782967963650684,233.1253052478953,257.60802808543804,34.4,10.571921170789125,30.45237975750446,38.34762024249554
Extended QMIX,30,0.6024199589040201,0.05223081822406274,0.5829166508512583,0.6219232669567819,0.39758004109597983,0.05223081822406273,0.378076733043218,0.4170833491487417,11.723617777777806,1.0985826233525313,11.313400284482158,12.133835271073453,27.72458379338222,0.20532584594936545,27.64791386246968,27.80125372429476,0.19691598415219327,0.12720971759721922,0.14941509494612676,0.2444168733582598,5.065972222222222,0.8300667094246786,4.756020219004444,5.37592422544,17.91055555555556,3.944875145121869,16.437514967622555,19.383596143488568,37.15555555555556,8.778995017206288,33.87742494156195,40.43368616954917,52.599999999999994,9.396502161632448,49.09128842878569,56.1087115712143,0.9613265174897119,0.02145525213345181,0.9533149946773887,0.9693380403020351,0.5799753228366942,0.06049899049615697,0.5573846285177592,0.6025660171556292,146.76035925925925,46.51646267752453,129.39082663519247,164.12989188332602,0.2345582561728395,0.026786487857708208,0.22455601722457494,0.2445604951211041,230.55555555555557,21.971652467049957,222.35120568964288,238.75990542146826,270.2111111111111,30.85803401207985,258.6885318427103,281.7336903795119,39.65555555555555,10.820189491805104,35.615230398430015,43.69588071268109
Fixed Interval,30,0.08390787986575733,0.012618409608651158,0.07919608828175961,0.08861967144975505,0.9160921201342427,0.012618409608651172,0.911380328550245,0.9208039117182404,4.9958399999998555,1.8067241133067846e-15,4.995839999999855,4.995839999999856,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.6696861616585029,0.0003551555542813445,0.6695535443950306,0.6698187789219753,5.4375,0.0,5.4375,5.4375,11.0,0.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.7605902777777778,0.0487262285409847,0.7423956050194964,0.7787849505360591,0.0636124258147258,0.009231395186606744,0.06016536620120766,0.06705948542824394,-244.8713333333331,49.8503488422443,-263.48575951055915,-226.25690715610702,0.08333333333333336,2.823006427041851e-17,0.08333333333333334,0.08333333333333337,96.0,0.0,96.0,96.0,96.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0
Greedy,30,0.33567060450744646,0.06504313217585268,0.31138309979901485,0.35995810921587806,0.6643293954925535,0.0650431321758527,0.6400418907841219,0.6886169002009852,19.41084000000019,0.25056831954304765,19.31727625180565,19.504403748194726,27.72458379338222,0.2053258459493652,27.64791386246968,27.80125372429476,0.019973077857359064,0.0032989984090898566,0.018741211606249704,0.021204944108468425,8.744618055555554,0.5013309412357793,8.5574180055514,8.931818105559708,41.15666666666667,1.4759995639036256,40.60551937165278,41.707813961680564,56.3,3.030306687563101,55.16846488660482,57.43153511339517,185.76666666666668,4.141325236279285,184.2202704091288,187.31306292420456,0.894753086419753,0.0378399483147087,0.8806234175044315,0.9088827553350746,0.3023906122730583,0.06911038740281018,0.27658436950311927,0.32819685504299734,-184.32254444444442,54.381991884955,-204.6291139434158,-164.01597494547303,0.6424189814814815,0.009519813913703346,0.6388642245453094,0.6459737384176535,384.3,5.011366390860708,382.4287250361093,386.1712749638907,740.0666666666667,10.966825628586244,735.9715866761966,744.1617466571369,355.76666666666665,6.790883002527948,353.2309092795164,358.3024240538169
Improved QMIX,30,0.574677257478659,0.054185835175352276,0.5544439340988196,0.5949105808584985,0.42532274252134095,0.05418583517535229,0.4050894191415015,0.4455560659011804,12.694728888888937,0.9942067183050607,12.323485999067696,13.065971778710178,27.72458379338222,0.20532584594936545,27.64791386246968,27.80125372429476,0.12158699778306675,0.09489071547883084,0.08615422230190448,0.15701977326422903,5.155758101851851,0.928371775702321,4.80909838361159,5.502417820092112,20.252777777777787,5.485576844832453,18.204429720259213,22.30112583529636,42.900000000000006,10.348764895672351,39.03570768008915,46.76429231991086,58.26666666666667,9.428659335146092,54.74594740952158,61.78738592381177,0.9543949331275721,0.0224242314832524,0.9460215874796414,0.9627682787755028,0.5494533935196138,0.06265737915157381,0.5260567436312371,0.5728500434079904,119.09452962962963,43.867914969794164,102.71398097312597,135.47507828613328,0.25352044753086417,0.02540496796636167,0.24403407658808177,0.26300681847364654,249.9777777777777,19.884134366100636,242.55291998135309,257.4026355742023,292.05555555555554,29.266523097248633,281.1272562294702,302.98385488164087,42.077777777777776,11.733530344915152,37.69640554114907,46.45915001440648
Published IQL,30,0.4475878394750676,0.060828090833513586,0.4248742570705545,0.4703014218795807,0.5524121605249325,0.06082809083351359,0.5296985781204193,0.5751257429294456,15.279728888888984,0.7931396862730323,14.983565662728239,15.57589211504973,27.72458379338222,0.20532584594936545,27.64791386246968,27.80125372429476,0.02952791098833864,0.017260084895857137,0.023082889367259794,0.03597293260941749,8.358940972222223,0.8304491101432308,8.048846178229438,8.669035766215009,35.614444444444445,3.2912857580665342,34.385458144557866,36.84343074433102,57.12222222222222,4.6009188931732,55.404210872785065,58.840233571659375,77.45555555555555,12.013556625086656,72.96961978745726,81.94149132365384,0.9266750257201648,0.0303730549406477,0.915333540613236,0.9380165108270936,0.41663032142252915,0.06825457280338025,0.39114364507594446,0.44211699776911384,-3.643325925925931,44.231961569965335,-20.159811816999436,12.873159965147574,0.3269868827160493,0.028930688241444878,0.31618398618605836,0.33778977924604026,301.67777777777775,15.862793725460232,295.754513254563,307.6010423009925,376.688888888889,33.32815285414451,364.24395208633945,389.1338256914385,75.0111111111111,21.430719408247704,67.00874896893049,83.01347325329172
Published QMIX,30,0.47283470036467573,0.067733212507617,0.4475427031519911,0.4981266975773604,0.5271652996353242,0.067733212507617,0.5018733024226395,0.5524572968480089,13.95472888888896,0.7919462099721073,13.659011314103056,14.250446463674864,27.72458379338222,0.20532584594936545,27.64791386246968,27.80125372429476,0.03831522487331486,0.023786811206537365,0.02943308359488746,0.04719736615174226,8.613435570987654,0.6235453927641369,8.380599894782286,8.846271247193023,36.396111111111125,2.8414679821778788,35.33508952916425,37.457132693058,58.31111111111112,4.4350859324941965,56.65502280686826,59.967199415353974,61.74444444444445,9.815026142933208,58.079453450232,65.40943543865689,0.9267875514403292,0.028495104988919488,0.9161473043699003,0.9374277985107581,0.44023636121250903,0.07421972582256063,0.4125222601218613,0.4679504623031568,27.59003703703704,49.80646926508824,8.991995763199391,46.18807831087469,0.2850405092592593,0.022253752872283383,0.2767308213708505,0.2933501971476681,275.1777777777778,15.838924199441632,269.2634262820599,281.0921292734957,328.3666666666667,25.636323308870463,318.7939062192197,337.93942711411364,53.18888888888889,14.52535986413524,47.76503037700099,58.61274740077679
