comparator,metric,n_environment_pairs,extended_engineering_advantage_mean,environment_seed_ci95_low,environment_seed_ci95_high,two_way_bootstrap_ci95_low,two_way_bootstrap_ci95_high,statistic,p_value_unadjusted,paired_cohens_dz,test,assumption,p_value_holm,holm_supported_0.05
Improved QMIX,raw_episode_reward,30,27.665829629629638,23.903371747539687,31.42828751171959,23.272727222222215,32.30832990740741,15.038832753997866,3.1422759767817376e-15,2.745702645970724,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,3.1422759767817374e-14,True
Improved QMIX,event_recall,30,0.027742701425361022,0.02360798799132626,0.03187741485939578,0.022575427442135837,0.033125901291533345,13.722884599675156,3.2573381342433876e-14,2.505444483094111,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,2.9316043208190487e-13,True
Improved QMIX,total_energy_consumption,30,0.9711111111111284,0.8481762336804606,1.0940459885417961,0.7005555555555697,1.2683333333333593,16.156076060425104,4.874423044685035e-16,2.9496824330213425,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,5.361865349153538e-15,True
Improved QMIX,mean_aoi,30,0.08978587962962965,-0.07879027131737405,0.2583620305766334,-0.32384765624999995,0.5390439332561727,1.0893162611193277,0.28498405768452834,0.19888102949074782,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.5699681153690567,False
Improved QMIX,redundant_sampling,30,5.666666666666666,4.32889004873595,7.004443284597382,3.533333333333333,7.8,8.663355662979768,1.5389019001795577e-09,1.5817051067680477,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,9.233411401077346e-09,True
Improved QMIX,network_coverage,30,0.006931584362139938,0.004864899333171836,0.00899826939110804,0.004195360725308637,0.009764178240740726,6.859623796409145,1.5540243712063758e-07,1.2523902297641711,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,7.770121856031879e-07,True
Entropy Threshold,raw_episode_reward,30,-9.562085185185174,-12.50191692868771,-6.622253441682638,-12.445207962962941,-6.612697777777778,-6.652305903071432,2.7068179667591555e-07,-1.2145393341789996,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,1.0827271867036622e-06,True
Entropy Threshold,event_recall,30,-0.006711240780480669,-0.010039475099363234,-0.003383006461598104,-0.010081220153888584,-0.0033548982487735836,-4.12411725396105,0.0002853201576519463,-0.7529573499302428,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.0008559604729558388,True
Entropy Threshold,total_energy_consumption,30,-0.979444444444482,-1.0698330024280576,-0.8890558864609063,-1.083333333333381,-0.866083333333364,-22.16197332149107,9.988508349770128e-20,-4.04620423566945,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,1.1986210019724154e-18,True
Entropy Threshold,mean_aoi,30,0.5519965277777777,0.4227793873217944,0.6812136682337611,0.4126777102623456,0.6967621527777779,8.736918778588892,1.2861343073523824e-09,1.5951358327078733,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,9.002940151466677e-09,True
Entropy Threshold,redundant_sampling,30,-5.700000000000001,-6.610175394872185,-4.7898246051278175,-6.622222222222222,-4.733333333333333,-12.808310382630731,1.8296437688129998e-13,-2.338466840031492,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,1.4637150150503999e-12,True
Entropy Threshold,network_coverage,30,-0.0008359053497942526,-0.002541804658887508,0.0008699939592990029,-0.0025560217335391074,0.0008488458076131655,-1.0021801347262593,0.32454599287247643,-0.18297222215771292,two-sided one-sample t-test on paired environment-seed differences,t-test treats environment seeds as sampling units after averaging replicas; the two-way bootstrap also resamples training seeds,0.5699681153690567,False
