policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction,samples_delivered,samples_requested,channel_blocks
Always Sample,3001,0.30660377358490565,0.6933962264150944,19.09584000000018,27.62894994555471,0.02076188274667197,9.10329861111111,42.0,59.0,185.0,0.8854166666666666,0.2714720911949685,-201.34699999999881,0.6345486111111112,378.0,731.0,353.0
Always Sample,3002,0.3813559322033898,0.6186440677966102,19.4958400000002,27.861430036513966,0.01866647236436629,8.760416666666666,41.0,56.0,183.0,0.8564814814814815,0.3266242937853107,-126.21933333333331,0.6423611111111112,386.0,740.0,354.0
Always Sample,3003,0.29535864978902954,0.7046413502109705,18.99584000000017,27.548637494574557,0.025533691665171606,9.567708333333334,43.450000000000045,59.0,175.0,0.8550347222222222,0.2525419010782935,-220.37400000000082,0.6241319444444444,376.0,719.0,343.0
Always Sample,3004,0.325,0.675,19.5458400000002,27.924650112487644,0.021699812940593505,8.41232638888889,40.0,55.0,191.0,0.890625,0.28945312500000003,-190.90400000000037,0.6501736111111112,387.0,749.0,362.0
Always Sample,3005,0.3681592039800995,0.6318407960199005,19.09584000000018,28.08026909765794,0.022852839290496946,9.2421875,42.450000000000045,58.0,185.0,0.9097222222222222,0.3349226091763405,-153.69100000000034,0.6362847222222222,378.0,733.0,355.0
Always Sample,3006,0.37341772151898733,0.6265822784810127,19.4958400000002,27.970602109231812,0.01389508810489216,8.636284722222221,41.0,57.0,187.0,0.9227430555555556,0.3445686093530239,-151.99500000000032,0.6423611111111112,386.0,740.0,354.0
Always Sample,3007,0.3034825870646766,0.6965174129353233,19.745840000000207,27.72584938019354,0.016302658357812118,8.024305555555555,39.0,53.0,190.0,0.875,0.26554726368159204,-214.16599999999917,0.6519097222222222,391.0,751.0,360.0
Always Sample,3008,0.2824074074074074,0.7175925925925926,19.5958400000002,27.678808363663382,0.02241625254020114,8.494791666666666,40.450000000000045,55.0,185.0,0.886863425925926,0.25045680084019206,-231.68033333333213,0.6467013888888888,388.0,745.0,357.0
Always Sample,3009,0.4212962962962963,0.5787037037037037,19.4958400000002,27.35706781838024,0.019005085085693072,8.602430555555555,41.0,58.0,184.0,0.9484953703703705,0.39959758659122085,-95.43133333333336,0.6458333333333334,386.0,744.0,358.0
Always Sample,3010,0.17766497461928935,0.8223350253807107,19.79584000000021,27.819657651968942,0.015178357766999712,7.986111111111111,39.0,53.0,187.0,0.8368055555555556,0.1486710377890581,-311.1219999999989,0.65625,392.0,756.0,364.0
Always Sample,3011,0.3218390804597701,0.6781609195402298,19.09584000000018,27.82161901589394,0.025656690153385408,9.300347222222221,43.0,57.0,183.0,0.9123263888888888,0.2936222860791826,-191.01600000000008,0.6319444444444444,378.0,728.0,350.0
Always Sample,3012,0.4425287356321839,0.5574712643678161,19.39584000000019,27.90835789481917,0.022885023038507757,9.049479166666666,42.0,59.0,187.0,0.9583333333333334,0.4240900383141763,-110.78300000000038,0.6475694444444444,384.0,746.0,362.0
Always Sample,3013,0.3088235294117647,0.6911764705882353,19.19584000000018,27.60629658153886,0.021345348958225978,9.292534722222221,43.0,60.0,184.0,0.8888888888888888,0.27450980392156865,-206.73299999999952,0.6319444444444444,380.0,728.0,348.0
Always Sample,3014,0.31443298969072164,0.6855670103092784,19.4958400000002,27.965147343052877,0.023490098950172268,8.539930555555555,41.0,55.0,189.0,0.875,0.27512886597938147,-213.44799999999972,0.6493055555555556,386.0,748.0,362.0
Always Sample,3015,0.3272058823529412,0.6727941176470589,19.79584000000021,28.124213368859103,0.02352511390594215,8.01736111111111,39.0,51.0,193.0,0.863425925925926,0.2825180419389979,-203.1963333333341,0.6579861111111112,392.0,758.0,366.0
