policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Always Sleep,,3001,volatile,coordinated,-370.49999999999795,0.0,1.0,0.1958400000000021,27.62894994555471,0.9875899999999997,144.5,274.0,288.0,0.0,0.6597222222222222,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3002,volatile,coordinated,-583.4999999999993,0.0,1.0,0.1958400000000021,27.861430036513966,0.9875899999999997,144.5,274.0,288.0,0.0,0.4826388888888889,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3003,volatile,coordinated,-407.9999999999979,0.0,1.0,0.1958400000000021,27.548637494574557,0.9875899999999997,144.5,274.0,288.0,0.0,0.6458333333333334,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3004,volatile,coordinated,-352.49999999999784,0.0,1.0,0.1958400000000021,27.924650112487644,0.9875899999999997,144.5,274.0,288.0,0.0,0.6770833333333334,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3005,volatile,coordinated,-353.9999999999988,0.0,1.0,0.1958400000000021,28.08026909765794,0.9875899999999997,144.5,274.0,288.0,0.0,0.6840277777777778,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3006,volatile,coordinated,-289.4999999999982,0.0,1.0,0.1958400000000021,27.970602109231812,0.9875899999999997,144.5,274.0,288.0,0.0,0.7291666666666666,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3007,volatile,coordinated,-353.9999999999977,0.0,1.0,0.1958400000000021,27.72584938019354,0.9875899999999997,144.5,274.0,288.0,0.0,0.6909722222222222,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3008,volatile,coordinated,-376.49999999999767,0.0,1.0,0.1958400000000021,27.678808363663382,0.9875899999999997,144.5,274.0,288.0,0.0,0.6944444444444444,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3009,volatile,coordinated,-376.49999999999795,0.0,1.0,0.1958400000000021,27.35706781838024,0.9875899999999997,144.5,274.0,288.0,0.0,0.6493055555555556,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3010,volatile,coordinated,-347.99999999999807,0.0,1.0,0.1958400000000021,27.819657651968942,0.9875899999999997,144.5,274.0,288.0,0.0,0.6979166666666666,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3011,volatile,coordinated,-313.4999999999981,0.0,1.0,0.1958400000000021,27.82161901589394,0.9875899999999997,144.5,274.0,288.0,0.0,0.7430555555555556,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3012,volatile,coordinated,-313.4999999999987,0.0,1.0,0.1958400000000021,27.90835789481917,0.9875899999999997,144.5,274.0,288.0,0.0,0.7534722222222222,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3013,volatile,coordinated,-358.4999999999976,0.0,1.0,0.1958400000000021,27.60629658153886,0.9875899999999997,144.5,274.0,288.0,0.0,0.7013888888888888,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3014,volatile,coordinated,-343.4999999999978,0.0,1.0,0.1958400000000021,27.965147343052877,0.9875899999999997,144.5,274.0,288.0,0.0,0.7256944444444444,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3015,volatile,coordinated,-460.49999999999756,0.0,1.0,0.1958400000000021,28.124213368859103,0.9875899999999997,144.5,274.0,288.0,0.0,0.6041666666666666,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3016,volatile,coordinated,-328.49999999999807,0.0,1.0,0.1958400000000021,27.86800081186195,0.9875899999999997,144.5,274.0,288.0,0.0,0.7222222222222222,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3017,volatile,coordinated,-290.99999999999915,0.0,1.0,0.1958400000000021,27.5129058183247,0.9875899999999997,144.5,274.0,288.0,0.0,0.7569444444444444,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3018,volatile,coordinated,-322.49999999999824,0.0,1.0,0.1958400000000021,27.62835490570601,0.9875899999999997,144.5,274.0,288.0,0.0,0.7395833333333334,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3019,volatile,coordinated,-290.99999999999847,0.0,1.0,0.1958400000000021,27.7691952184056,0.9875899999999997,144.5,274.0,288.0,0.0,0.7430555555555556,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3020,volatile,coordinated,-343.4999999999974,0.0,1.0,0.1958400000000021,27.88644548435911,0.9875899999999997,144.5,274.0,288.0,0.0,0.6909722222222222,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3021,volatile,coordinated,-395.9999999999981,0.0,1.0,0.1958400000000021,27.356435250194345,0.9875899999999997,144.5,274.0,288.0,0.0,0.6527777777777778,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3022,volatile,coordinated,-241.49999999999864,0.0,1.0,0.1958400000000021,27.392636233701687,0.9875899999999997,144.5,274.0,288.0,0.0,0.8020833333333334,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,3023,volatile,coordinated,-440.9999999999979,0.0,1.0,0.1958400000000021,27.617549127455494,0.9875899999999997,144.5,274.0,288.0,0.0,0.5972222222222222,0.0,0,0,0,0,1152,0,0.0
