ablation_variant,seed,team_reward,event_recall_pct,mean_aoi,p95_aoi,overlap_steps,samples_executed,final_battery_mean
Ablation: No Neighbor Signal,1027,-691.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1028,-676.5000000000025,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1029,-610.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Neighbor Signal,1030,-604.5000000000007,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1001,-715.5000000000026,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1002,-553.4999999999986,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1003,-652.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1004,-694.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1005,-592.5000000000001,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1006,-763.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1007,-637.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1008,-586.5,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1009,-634.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1010,-637.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1011,-604.5,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1012,-667.5000000000016,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1013,-676.5000000000009,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1014,-658.5000000000017,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1015,-691.5000000000028,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1016,-592.4999999999991,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1017,-565.4999999999994,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1018,-679.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1019,-553.4999999999987,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1020,-712.5000000000033,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1021,-649.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1022,-700.5000000000016,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1023,-652.5000000000015,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1024,-619.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1025,-724.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1026,-766.5000000000028,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1027,-691.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1028,-676.5000000000025,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1029,-610.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Redundancy Penalty,1030,-604.5000000000007,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1001,-663.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1002,-501.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1003,-600.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1004,-642.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1005,-540.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1006,-711.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1007,-585.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1008,-534.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1009,-582.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1010,-585.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1011,-552.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1012,-615.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1013,-624.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1014,-606.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1015,-639.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1016,-540.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1017,-513.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1018,-627.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1019,-501.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1020,-660.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1021,-597.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1022,-648.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1023,-600.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1024,-567.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1025,-672.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1026,-714.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1027,-639.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1028,-624.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1029,-558.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No AoI Freshness Term,1030,-552.0,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1001,-715.5000000000026,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1002,-553.4999999999986,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1003,-652.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1004,-694.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1005,-592.5000000000001,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1006,-763.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1007,-637.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1008,-586.5,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1009,-634.5000000000003,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1010,-637.5000000000022,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1011,-604.5,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1012,-667.5000000000016,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1013,-676.5000000000009,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1014,-658.5000000000017,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1015,-691.5000000000028,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1016,-592.4999999999991,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1017,-565.4999999999994,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1018,-679.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1019,-553.4999999999987,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1020,-712.5000000000033,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1021,-649.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1022,-700.5000000000016,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1023,-652.5000000000015,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1024,-619.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1025,-724.5000000000019,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1026,-766.5000000000028,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1027,-691.5000000000014,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1028,-676.5000000000025,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1029,-610.5000000000008,0.0,144.5,274.0,0,0,0.9890500000000012
Ablation: No Energy Cost Term,1030,-604.5000000000007,0.0,144.5,274.0,0,0,0.9890500000000012
