policy,training_seed,raw_episode_reward_mean,event_recall_mean,total_energy_consumption_mean,mean_aoi_mean,redundant_sampling_mean,network_coverage_mean,samples_delivered_mean,samples_requested_mean,channel_blocks_mean,sample_action_fraction_mean
Extended QMIX,101,143.28683333333333,0.6009050901350322,11.78084000000003,5.361458333333333,52.1,0.9609230324074073,231.7,271.9,40.2,0.23602430555555562
Extended QMIX,102,146.2685166666666,0.6045603163152513,11.815840000000033,5.31974826388889,52.05,0.961646412037037,232.4,272.8,40.4,0.2368055555555555
Extended QMIX,103,146.32065000000003,0.604102032007383,11.700840000000024,5.420920138888889,51.35,0.9612847222222223,230.1,270.15,40.05,0.23450520833333338
Refined QMIX,101,147.08658333333332,0.605072821307537,11.655840000000028,5.3994791666666675,51.15,0.961791087962963,229.2,268.7,39.5,0.23324652777777777
Refined QMIX,102,145.9568833333333,0.6043236397857767,11.728340000000026,5.394097222222222,52.0,0.9614004629629628,230.65,271.1,40.45,0.23532986111111112
Refined QMIX,103,147.14158333333333,0.6044553294541365,11.60584000000002,5.507638888888889,50.85,0.961791087962963,228.2,268.4,40.2,0.23298611111111112
