policy,n_environment_seeds,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high
Battery + Entropy,20,146.8911,53.851846113006644,121.68766020680434,172.09453979319565,0.5997501184544263,0.060204236813148196,0.5715736682983564,0.6279265686104961,10.658339999999997,1.217295859898681,10.08862800069209,11.228051999307905,6.063281249999999,0.911353242514354,5.636754803165775,6.489807696834224,46.0,10.682006513660939,41.000667062135264,50.999332937864736,0.9578993055555556,0.02533327233358799,0.9460429691416772,0.969755641969434,209.25,24.345917197972362,197.85576001384246,220.64423998615754,244.35,34.41125122000529,228.24503868610248,260.4549613138975,35.1,11.47491543369825,29.72957426457894,40.47042573542106,0.212109375,0.029870877795143483,0.19812937385946394,0.22608937614053604
Entropy Threshold,20,154.35111666666668,53.22571930028245,129.44071324207172,179.26152009126164,0.6084668582922068,0.0554039066843173,0.5825370317920014,0.6343966847924122,10.800840000000003,1.266044399321281,10.208312981950389,11.393367018049616,5.886588541666667,0.8273318130654617,5.499385334262519,6.273791749070814,46.65,10.589344197178397,41.69403436118133,51.60596563881867,0.9624276620370372,0.022656798472370513,0.951823953948615,0.9730313701254595,212.1,25.320887986424424,200.2494596390083,223.95054036099168,248.0,35.165772833074044,231.54191170123113,264.45808829876887,35.9,11.378187812421485,30.574844184835193,41.225155815164804,0.21527777777777776,0.030525844473154547,0.20099124279620756,0.22956431275934797
Extended QMIX,20,145.292,53.680253197402436,120.1688681633467,170.4151318366533,0.6031891461525556,0.06025189957424208,0.5749903891376441,0.6313879031674671,11.76584000000003,1.1338698420513518,11.235172578914918,12.29650742108514,5.367375578703703,0.6742901116934676,5.051798092324663,5.682953065082742,51.833333333333336,9.901562284433432,47.19925953815436,56.46740712851231,0.9612847222222222,0.024839878370833433,0.9496593012909536,0.9729101431534908,231.4,22.677396841026088,220.78665157829823,242.01334842170178,271.6166666666667,34.229749210214095,255.59665090814562,287.63668242518776,40.21666666666667,12.741365612084865,34.2535240027476,46.17980933058574,0.23577835648148154,0.029713323967199726,0.2218720928022098,0.2496846201607533
Refined QMIX,20,146.72834999999998,53.279278294077166,121.79288019471574,171.66381980528422,0.6046172635158167,0.060523213392941,0.5762915277250933,0.6329429993065401,11.663340000000025,1.1710128943912292,11.115289095321442,12.211390904678607,5.433738425925926,0.6521485068202508,5.128523529608809,5.738953322243042,51.333333333333336,10.19861245005578,46.56023578121368,56.106430885452994,0.9616608796296295,0.024759961970419426,0.9500728607250639,0.9732488985341952,229.35,23.420257887823606,218.3889819064288,240.3110180935712,269.40000000000003,34.6502322718222,253.18319211099083,285.61680788900924,40.05,12.286670855107758,34.299661032869814,45.80033896713018,0.23385416666666664,0.030078326624845653,0.21977707648523503,0.24793125684809825
