policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Battery + Entropy,251,218.9213333333334,0.6636363636363637,11.495840000000069,5.230902777777778,50.0,0.9629629629629631,226.0,264.0,38.0,0.22916666666666666
Battery + Entropy,252,144.78499999999997,0.6644736842105263,9.845839999999987,5.685763888888889,34.0,0.9756944444444444,193.0,222.0,29.0,0.19270833333333334
Battery + Entropy,253,111.34799999999994,0.6846846846846847,8.645839999999865,6.225694444444445,29.0,0.9861111111111112,169.0,185.0,16.0,0.1605902777777778
Battery + Entropy,254,114.82733333333326,0.5565610859728507,10.845840000000043,5.057291666666667,50.0,0.9473379629629631,213.0,262.0,49.0,0.22743055555555555
Battery + Entropy,255,108.93299999999991,0.5895953757225434,10.195839999999938,6.180555555555555,41.0,0.9800347222222222,200.0,232.0,32.0,0.2013888888888889
Battery + Entropy,256,201.61300000000003,0.6447368421052632,11.545840000000034,6.517361111111111,57.0,0.9826388888888888,227.0,279.0,52.0,0.2421875
Battery + Entropy,257,179.20166666666685,0.6118143459915611,11.89584000000001,4.9609375,56.0,0.9745370370370371,234.0,278.0,44.0,0.24131944444444445
Battery + Entropy,258,113.66666666666666,0.5180722891566265,10.245839999999978,6.307291666666667,38.0,0.9146412037037036,201.0,235.0,34.0,0.20399305555555555
Battery + Entropy,259,141.08333333333334,0.55,11.395840000000028,5.171875,54.0,0.9386574074074073,224.0,258.0,34.0,0.22395833333333334
Battery + Entropy,260,213.6173333333332,0.6020761245674741,12.545840000000016,5.715277777777778,66.0,0.9542824074074076,247.0,302.0,55.0,0.2621527777777778
Battery + Entropy,261,252.674,0.7169811320754716,11.49584000000017,5.594618055555555,48.0,0.9826388888888888,226.0,259.0,33.0,0.2248263888888889
Battery + Entropy,262,114.92699999999995,0.6011904761904762,9.595839999999964,6.044270833333333,42.0,0.9592013888888888,188.0,209.0,21.0,0.1814236111111111
Battery + Entropy,263,235.27800000000002,0.6114864864864865,13.145840000000117,5.166666666666667,65.0,0.9375,259.0,308.0,49.0,0.2673611111111111
Battery + Entropy,264,136.35466666666667,0.6201117318435754,10.595840000000068,6.390625,44.0,0.9814814814814815,208.0,230.0,22.0,0.1996527777777778
Battery + Entropy,265,108.97233333333331,0.6013071895424836,9.195839999999892,6.363715277777778,30.0,0.9846643518518517,180.0,208.0,28.0,0.18055555555555555
Battery + Entropy,266,167.22166666666672,0.6111111111111112,10.195839999999999,8.338541666666666,43.0,0.9554398148148147,200.0,231.0,31.0,0.20052083333333334
Battery + Entropy,267,76.94233333333334,0.5117370892018779,10.195839999999889,6.505208333333333,45.0,0.9160879629629631,200.0,229.0,29.0,0.1987847222222222
Battery + Entropy,268,108.6896666666667,0.5,11.245839999999983,7.493055555555555,53.0,0.905960648148148,221.0,266.0,45.0,0.2309027777777778
Battery + Entropy,269,131.08700000000002,0.622093023255814,10.395840000000032,4.966145833333333,44.0,0.9756944444444444,204.0,247.0,43.0,0.2144097222222222
Battery + Entropy,270,57.67866666666668,0.5133333333333333,8.445839999999858,7.349826388888889,31.0,0.9424189814814814,165.0,183.0,18.0,0.15885416666666666
Entropy Threshold,251,218.8173333333334,0.6636363636363637,11.495840000000069,5.321180555555555,50.0,0.9629629629629631,226.0,264.0,38.0,0.22916666666666666
Entropy Threshold,252,144.83699999999993,0.6644736842105263,9.94583999999999,5.467013888888889,34.0,0.9756944444444444,195.0,224.0,29.0,0.19444444444444445
Entropy Threshold,253,114.96799999999995,0.6936936936936937,8.695839999999876,6.46875,29.0,0.9878472222222222,170.0,186.0,16.0,0.16145833333333334
Entropy Threshold,254,122.34333333333328,0.5656108597285068,11.04584000000007,4.956597222222222,52.0,0.9542824074074076,217.0,268.0,51.0,0.2326388888888889
