comparator,metric,engineering_advantage_mean,environment_ci95_low,environment_ci95_high,two_way_bootstrap_ci95_low,two_way_bootstrap_ci95_high,statistic,p_value,paired_cohens_dz,p_value_holm
Extended QMIX,raw_episode_reward,1.4363499999999967,0.4605713092346563,2.412128690765337,-0.7400205555555538,3.8997627777777657,3.080939488636916,0.006150811334958792,0.6889190131155586,0.04305567934471155
Extended QMIX,event_recall,0.0014281173632611833,6.0022582274374186e-05,0.002796212144247992,-0.0009536882277461889,0.00441209812784541,2.1848515434492004,0.04163178418826548,0.48854765718977466,0.1665271367530619
Extended QMIX,total_energy_consumption,0.10250000000000385,0.06786732227476489,0.13713267772524282,0.05916666666667096,0.14750000000000307,6.194582101877582,5.955192310042583e-06,1.38515066720018,5.955192310042584e-05
Extended QMIX,mean_aoi,-0.06636284722222205,-0.12308717727304197,-0.009638517171402121,-0.1278233506944443,0.00022135416666673415,-2.4486677133197206,0.02421624573445367,-0.5475387461291863,0.12108122867226834
Extended QMIX,redundant_sampling,0.5000000000000003,0.09666767764149548,0.9033323223585052,-0.15,1.2,2.5946644223419204,0.017786517351729227,0.5801846027156756,0.10671910411037536
Extended QMIX,network_coverage,0.0003761574074073959,-0.00020430847737454066,0.0009566232921893325,-0.0005113088348765484,0.0011477623456790098,1.3563355273554323,0.1908924440271561,0.30328584394647723,0.49344347148409323
Entropy Threshold,raw_episode_reward,-7.622766666666678,-11.925650042010304,-3.3198832913230527,-11.697123333333357,-3.511189305555557,-3.7078936617009917,0.0014926409099955485,-0.8291102280904026,0.011941127279964388
Entropy Threshold,event_recall,-0.0038495947763901805,-0.009421849234631149,0.0017226596818507886,-0.009061018207403975,0.0013568733216414916,-1.4459667136688374,0.1644811571613644,-0.3233279864965495,0.49344347148409323
Entropy Threshold,total_energy_consumption,-0.8625000000000227,-0.9539527927984675,-0.7710472072015779,-0.9725000000000193,-0.7608333333333522,-19.739509223144406,4.041332336863558e-14,-4.4138884465434955,4.84959880423627e-13
Entropy Threshold,mean_aoi,0.45285011574074074,0.26499370635645836,0.6407065251250231,0.27866934317129644,0.6461194299768517,5.045482282949778,7.182903163662288e-05,1.1282041363946531,0.0006464612847296059
Entropy Threshold,redundant_sampling,-4.683333333333333,-5.863289705566765,-3.5033769610999004,-5.916666666666667,-3.45,-8.307365892626159,9.530615263986039e-08,-1.8575834849875308,1.0483676790384644e-06
Entropy Threshold,network_coverage,-0.0007667824074074403,-0.00316628817821879,0.0016327233634039094,-0.0029515094521605383,0.001528742283950585,-0.6688435771747355,0.5116407126089744,-0.14955797048768352,0.5116407126089744
