policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Battery + Entropy,4026,120.95899999999995,0.5865921787709497,9.44583999999986,5.380208333333333,42.0,0.9730902777777778,185.0,221.0,36.0,0.1918402777777778
Battery + Entropy,4027,190.4623333333334,0.6278026905829597,11.99584000000005,4.2421875,56.0,0.9542824074074073,236.0,270.0,34.0,0.234375
Battery + Entropy,4028,164.09233333333324,0.6055045871559633,11.24584000000001,4.482638888888889,48.0,0.9716435185185186,221.0,256.0,35.0,0.2222222222222222
Battery + Entropy,4029,179.02899999999997,0.5836575875486382,10.795839999999995,7.553819444444445,50.0,0.9496527777777778,212.0,253.0,41.0,0.21961805555555555
Battery + Entropy,4030,211.38899999999995,0.6101083032490975,12.345840000000036,4.528645833333333,63.0,0.9592013888888888,243.0,292.0,49.0,0.2534722222222222
Entropy Threshold,4001,105.16533333333334,0.5374449339207048,10.645839999999938,6.644097222222222,51.0,0.9360532407407407,209.0,248.0,39.0,0.2152777777777778
Entropy Threshold,4002,137.84133333333335,0.5726872246696035,11.04583999999991,5.658854166666667,54.0,0.9473379629629631,217.0,240.0,23.0,0.20833333333333334
Entropy Threshold,4003,175.3610000000001,0.6544502617801047,10.695840000000084,6.089409722222222,49.0,0.9670138888888888,210.0,247.0,37.0,0.2144097222222222
Entropy Threshold,4004,199.36866666666657,0.6061776061776062,11.495840000000003,6.207465277777778,56.0,0.945023148148148,226.0,257.0,31.0,0.2230902777777778
Entropy Threshold,4005,130.11499999999995,0.643312101910828,9.595839999999926,6.078993055555555,47.0,0.9722222222222222,188.0,214.0,26.0,0.1857638888888889
Entropy Threshold,4006,133.24200000000005,0.5906735751295337,10.345839999999983,6.092881944444445,40.0,0.9513888888888888,203.0,233.0,30.0,0.20225694444444445
Entropy Threshold,4007,161.88166666666652,0.6436170212765957,9.595839999999917,7.5546875,45.0,0.9866898148148149,188.0,226.0,38.0,0.19618055555555555
Entropy Threshold,4008,176.6406666666668,0.6443298969072165,11.345839999999992,4.133680555555555,47.0,0.9710648148148149,223.0,253.0,30.0,0.21961805555555555
Entropy Threshold,4009,135.75866666666664,0.576036866359447,10.54583999999993,6.894097222222222,45.0,0.9554398148148147,207.0,241.0,34.0,0.2092013888888889
Entropy Threshold,4010,102.86999999999996,0.5414634146341464,10.195839999999976,7.228298611111111,42.0,0.9409722222222222,200.0,229.0,29.0,0.1987847222222222
Entropy Threshold,4011,237.86866666666648,0.6434108527131783,12.64584000000007,3.8307291666666665,54.0,0.9814814814814815,249.0,294.0,45.0,0.2552083333333333
Entropy Threshold,4012,168.29299999999995,0.5836734693877551,10.89583999999997,6.685763888888889,48.0,0.9557291666666666,214.0,243.0,29.0,0.2109375
Entropy Threshold,4013,150.46633333333335,0.5607843137254902,11.245840000000046,6.050347222222222,54.0,0.9204282407407407,221.0,257.0,36.0,0.2230902777777778
Entropy Threshold,4014,181.18700000000004,0.6367924528301887,11.545840000000021,5.371527777777778,50.0,0.9644097222222222,227.0,269.0,42.0,0.23350694444444445
Entropy Threshold,4015,152.33866666666674,0.6298342541436464,9.39583999999997,6.5625,38.0,0.9675925925925927,184.0,213.0,29.0,0.18489583333333334
Entropy Threshold,4016,199.8693333333333,0.6956521739130435,11.095840000000011,5.090277777777778,45.0,0.9829282407407409,218.0,249.0,31.0,0.21614583333333334
Entropy Threshold,4017,178.7899999999999,0.5620689655172414,11.745839999999976,5.296875,55.0,0.9114583333333334,231.0,277.0,46.0,0.2404513888888889
Entropy Threshold,4018,176.69733333333326,0.6368159203980099,11.195840000000041,4.671875,46.0,0.9733796296296298,220.0,258.0,38.0,0.22395833333333334
Entropy Threshold,4019,160.3950000000001,0.6307692307692307,10.795839999999993,5.885416666666667,51.0,0.9592013888888888,212.0,236.0,24.0,0.2048611111111111
Entropy Threshold,4020,99.34599999999998,0.6578947368421053,8.595839999999903,5.621527777777778,33.0,0.9895833333333334,168.0,192.0,24.0,0.16666666666666666
Entropy Threshold,4021,146.873,0.6141304347826086,10.24583999999997,5.771701388888889,39.0,0.9652777777777778,201.0,225.0,24.0,0.1953125
Entropy Threshold,4022,119.46299999999994,0.6241610738255033,9.295839999999927,5.230902777777778,35.0,0.9869791666666666,182.0,213.0,31.0,0.18489583333333334
Entropy Threshold,4023,152.46866666666673,0.573170731707317,11.095839999999985,4.892361111111111,54.0,0.9346064814814814,218.0,256.0,38.0,0.2222222222222222
Entropy Threshold,4024,193.65699999999998,0.5821428571428572,12.945840000000056,3.978298611111111,62.0,0.9375,255.0,303.0,48.0,0.2630208333333333
Entropy Threshold,4025,113.26866666666652,0.6258503401360545,9.745839999999896,5.825520833333333,44.0,0.9745370370370369,191.0,222.0,31.0,0.19270833333333334
Entropy Threshold,4026,125.2999999999999,0.5921787709497207,9.54583999999988,5.344618055555555,42.0,0.9765625,187.0,223.0,36.0,0.1935763888888889
Entropy Threshold,4027,196.9253333333334,0.6367713004484304,12.195840000000059,4.1796875,58.0,0.9577546296296295,240.0,276.0,36.0,0.23958333333333334
Entropy Threshold,4028,171.1856666666666,0.6146788990825688,11.395840000000007,4.425347222222222,49.0,0.9745370370370371,224.0,259.0,35.0,0.2248263888888889
Entropy Threshold,4029,189.21966666666677,0.5953307392996109,10.99584000000005,7.402777777777778,52.0,0.9528356481481483,216.0,257.0,41.0,0.2230902777777778
Entropy Threshold,4030,219.01999999999995,0.6173285198555957,12.495840000000037,4.366319444444445,64.0,0.9635416666666666,246.0,295.0,49.0,0.2560763888888889
Extended QMIX Replica Mean,4001,99.2282222222222,0.5315712187958884,11.362506666666617,6.180844907407407,52.666666666666664,0.9379822530864198,223.33333333333334,263.3333333333333,40.0,0.22858796296296294
Extended QMIX Replica Mean,4002,112.84033333333339,0.5462555066079294,11.812506666666655,4.771701388888889,56.0,0.9392361111111112,232.33333333333334,257.0,24.666666666666668,0.2230902777777778
Extended QMIX Replica Mean,4003,175.1880000000001,0.6561954624781849,12.312506666666783,3.8952546296296298,54.666666666666664,0.9768518518518517,242.33333333333334,285.0,42.666666666666664,0.24739583333333334
Extended QMIX Replica Mean,4004,191.27399999999992,0.6023166023166023,12.112506666666706,5.993055555555556,61.333333333333336,0.9435763888888888,238.33333333333334,274.6666666666667,36.333333333333336,0.23842592592592593
Extended QMIX Replica Mean,4005,122.31766666666664,0.6369426751592356,10.579173333333333,5.555844907407407,55.666666666666664,0.9791666666666666,207.66666666666666,239.66666666666666,32.0,0.20804398148148148
Extended QMIX Replica Mean,4006,134.61999999999998,0.5993091537132988,11.345839999999995,6.056712962962963,47.666666666666664,0.9577546296296297,223.0,258.0,35.0,0.22395833333333334
Extended QMIX Replica Mean,4007,170.33599999999998,0.6595744680851063,10.762506666666683,6.4360532407407405,50.0,0.9936342592592592,211.33333333333334,254.33333333333334,43.0,0.22077546296296294
Extended QMIX Replica Mean,4008,164.02833333333334,0.6305841924398625,12.295840000000046,3.8330439814814814,47.333333333333336,0.9664351851851851,242.0,274.3333333333333,32.333333333333336,0.23813657407407407
Extended QMIX Replica Mean,4009,132.7896666666666,0.5729646697388633,11.412506666666644,5.54369212962963,49.333333333333336,0.9638310185185185,224.33333333333334,264.3333333333333,40.0,0.22945601851851852
Extended QMIX Replica Mean,4010,106.10955555555552,0.5479674796747968,11.079173333333316,6.56568287037037,42.0,0.9400077160493826,217.66666666666666,248.0,30.333333333333332,0.21527777777777776
Extended QMIX Replica Mean,4011,235.52566666666652,0.6472868217054264,13.445840000000084,4.070601851851852,61.333333333333336,0.9814814814814815,265.0,313.0,48.0,0.2717013888888889
Extended QMIX Replica Mean,4012,157.39344444444444,0.580952380952381,11.812506666666652,6.359085648148148,58.0,0.94945987654321,232.33333333333334,264.6666666666667,32.333333333333336,0.22974537037037038
Extended QMIX Replica Mean,4013,143.84666666666666,0.5607843137254902,12.162506666666717,5.9806134259259265,63.666666666666664,0.9221643518518517,239.33333333333334,280.6666666666667,41.333333333333336,0.24363425925925927
Extended QMIX Replica Mean,4014,163.29766666666663,0.6179245283018867,12.44584000000004,4.415219907407407,55.666666666666664,0.9667245370370371,245.0,297.3333333333333,52.333333333333336,0.25810185185185186
Extended QMIX Replica Mean,4015,149.2340000000001,0.6298342541436464,10.495839999999989,5.6993634259259265,42.666666666666664,0.9699074074074074,206.0,237.33333333333334,31.333333333333332,0.20601851851851852
Extended QMIX Replica Mean,4016,194.06466666666662,0.6938405797101449,11.779173333333349,4.923611111111111,51.333333333333336,0.9829282407407406,231.66666666666666,265.6666666666667,34.0,0.23061342592592593
Extended QMIX Replica Mean,4017,163.4039999999999,0.5505747126436781,12.645840000000026,5.671585648148148,58.666666666666664,0.9131944444444443,249.0,296.6666666666667,47.666666666666664,0.25752314814814814
