candidate,comparator,metric,engineering_advantage_mean,ci95_low,ci95_high,statistic,p_value,paired_cohens_dz,p_value_holm,reward_p_holm
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,raw_episode_reward,4.051607407407411,2.922778738787893,5.180436076026928,7.340766405275541,4.3648751018738036e-08,1.340234449848508,3.928387591686423e-07,4.3648751018738036e-08
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,event_recall,0.0037114935480737116,0.0023818057118135307,0.0050411813843338924,5.708750891829116,3.5512078843397926e-06,1.0422705462108472,2.485845519037855e-05,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,total_energy_consumption,0.2294444444444535,0.19967929795611905,0.25920959093278795,15.765639829267474,9.23721861930584e-16,2.878398855997231,1.0160940481236425e-14,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,mean_aoi,-0.11208526234567909,-0.15994159274774633,-0.06422893194361184,-4.790172983796121,4.544071334796023e-05,-0.8745619325256548,0.00022720356673980115,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,redundant_sampling,1.1444444444444444,0.806827306711189,1.4820615821776997,6.932858080803866,1.2787736246495535e-07,1.2657609196127506,1.0230188997196428e-06,
QMIX Unanimous Ensemble,Extended QMIX Replica Mean,network_coverage,0.001028806584362126,0.0003396427834045713,0.0017179703853196805,3.0531866581429945,0.004813597698890851,0.5574330683129107,0.019254390795563403,
QMIX Unanimous Ensemble,Entropy Threshold,raw_episode_reward,-2.2684888888888923,-4.923187788752076,0.386210010974291,-1.7476862323796332,0.09110079333307242,-0.31908239097184693,0.18220158666614483,
QMIX Unanimous Ensemble,Entropy Threshold,event_recall,0.0014087808669202562,-0.0023076119874934535,0.005125173721333966,0.7752895081780207,0.44444499124054926,0.14154785074206264,0.44444499124054926,
QMIX Unanimous Ensemble,Entropy Threshold,total_energy_consumption,-0.7250000000000261,-0.8080269659106235,-0.6419730340894286,-17.8591554476761,3.446805909800059e-17,-3.260620765561158,4.136167091760071e-16,
QMIX Unanimous Ensemble,Entropy Threshold,mean_aoi,0.42173032407407407,0.25297767916787306,0.5904829689802751,5.111240539441364,1.8619175317072775e-05,0.9331805800956363,0.00011171505190243665,
QMIX Unanimous Ensemble,Entropy Threshold,redundant_sampling,-4.4,-5.402913072676773,-3.397086927323228,-8.972871797717783,7.26830406144983e-10,-1.6382147630706538,7.26830406144983e-09,
QMIX Unanimous Ensemble,Entropy Threshold,network_coverage,0.0018036265432098428,0.0002673045589700095,0.003339948527449676,2.401079010358192,0.022982901049286002,0.43837504544178735,0.068948703147858,
