policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Extended QMIX Replica Mean,101.0,4001,volatile,coordinated,97.00866666666666,0.5286343612334802,0.4713656387665198,11.39583999999995,27.40849217874173,0.043604756433959814,6.208333333333333,25.0,41.0,52.0,0.9372106481481483,0.4954417523250123,224,263,0,39,889,263,0.2282986111111111
Extended QMIX Replica Mean,101.0,4002,volatile,coordinated,109.01666666666671,0.5418502202643172,0.4581497797356828,11.795839999999986,27.44274949619137,0.024169739514754086,4.763020833333333,16.0,28.0,56.0,0.9380787037037037,0.5082981522271169,232,257,0,25,895,257,0.2230902777777778
Extended QMIX Replica Mean,101.0,4003,volatile,coordinated,174.33000000000013,0.6544502617801047,0.3455497382198953,12.445840000000123,27.701680023876925,0.36078471748891217,3.8003472222222223,12.0,20.0,53.0,0.9756944444444444,0.6385434845840604,245,288,0,43,864,288,0.25
Extended QMIX Replica Mean,101.0,4004,volatile,coordinated,191.57566666666656,0.6023166023166023,0.39768339768339767,12.145840000000042,27.55309140987686,0.10021739215700436,5.995659722222222,25.0,54.0,60.0,0.9424189814814814,0.5676345988845989,239,275,0,36,877,275,0.2387152777777778
Extended QMIX Replica Mean,101.0,4005,volatile,coordinated,122.14799999999995,0.6369426751592356,0.36305732484076436,10.695840000000011,27.709958421476138,0.34147806929878843,5.529513888888889,18.0,43.0,56.0,0.9791666666666666,0.6236730360934182,210,240,0,30,912,240,0.20833333333333334
Extended QMIX Replica Mean,101.0,4006,volatile,coordinated,127.18499999999996,0.5906735751295337,0.40932642487046633,11.395839999999996,27.57986529670918,0.18566968530878009,6.144965277777778,24.0,42.0,49.0,0.9548611111111112,0.5640112262521589,224,258,0,34,894,258,0.22395833333333334
Extended QMIX Replica Mean,101.0,4007,volatile,coordinated,170.94166666666663,0.6595744680851063,0.34042553191489366,10.695840000000011,27.562579455199096,0.3625474310203452,6.4609375,23.0,52.0,49.0,0.9936342592592593,0.6553757880220646,210,253,0,43,899,253,0.21961805555555555
Extended QMIX Replica Mean,101.0,4008,volatile,coordinated,162.28199999999998,0.6288659793814433,0.3711340206185567,12.295840000000045,27.677857988834862,0.07420698807953997,3.7864583333333335,12.0,23.0,48.0,0.9652777777777778,0.6070303550973654,242,274,0,32,878,274,0.2378472222222222
Extended QMIX Replica Mean,101.0,4009,volatile,coordinated,126.9676666666666,0.5668202764976958,0.43317972350230416,11.54584,27.82815902881104,0.1548866540801069,5.2734375,18.0,38.0,51.0,0.9632523148148147,0.5459909434203788,227,269,0,42,883,269,0.23350694444444445
Extended QMIX Replica Mean,101.0,4010,volatile,coordinated,105.27666666666664,0.5463414634146342,0.4536585365853658,11.045839999999977,27.718906476623278,0.13880755243520573,6.770833333333333,23.450000000000045,63.0,41.0,0.9398148148148147,0.5134598012646793,217,247,0,30,905,247,0.2144097222222222
Extended QMIX Replica Mean,101.0,4011,volatile,coordinated,235.3166666666665,0.6472868217054264,0.3527131782945736,13.445840000000084,27.977555618374083,0.22622109741049282,3.962673611111111,13.450000000000045,36.0,62.0,0.9814814814814815,0.6353000287108815,265,313,0,48,839,313,0.2717013888888889
Extended QMIX Replica Mean,101.0,4012,volatile,coordinated,162.50900000000001,0.5877551020408164,0.4122448979591836,12.045839999999991,27.82685117867002,0.017884181049750827,6.046875,23.0,55.0,61.0,0.953125,0.5602040816326531,237,271,0,34,881,271,0.23524305555555555
Extended QMIX Replica Mean,101.0,4013,volatile,coordinated,144.74800000000002,0.5607843137254902,0.4392156862745098,12.095840000000054,28.122270025238173,0.31892429028908065,6.080729166666667,24.0,49.0,62.0,0.921875,0.5169730392156863,238,278,0,40,874,278,0.24131944444444445
Extended QMIX Replica Mean,101.0,4014,volatile,coordinated,168.98999999999992,0.6226415094339622,0.37735849056603776,12.445840000000038,28.012161026946465,0.06241188825567216,4.508680555555555,16.0,31.0,54.0,0.9713541666666666,0.6048054245283019,245,296,0,51,856,296,0.2569444444444444
Extended QMIX Replica Mean,101.0,4015,volatile,coordinated,148.97666666666674,0.6298342541436464,0.37016574585635365,10.545839999999993,27.735788359725397,0.22200795347632457,5.662326388888889,19.450000000000045,37.0,42.0,0.9675925925925927,0.6094229588704727,207,237,0,30,915,237,0.20572916666666666
