policy,n_environment_seeds,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high
Battery + Entropy,30,150.44687777777776,35.966571082557394,137.0167394174044,163.8770161381511,0.5996090937882479,0.04257152781618462,0.5837126240505164,0.6155055635259794,10.622506666666643,1.0114630350459974,10.244820162276495,11.000193171056791,5.817795138888889,1.0837899388555248,5.41310132476355,6.222488953014228,47.13333333333333,7.314290845646805,44.40213224553522,49.864534421131445,0.955391589506173,0.021761515170374893,0.9472657061964005,0.9635174728159455,208.53333333333333,20.22926070091903,200.9796032455307,216.08706342113595,241.93333333333334,25.585466420490032,232.37956316010406,251.48710350656262,33.4,7.490683869152816,30.60293267474343,36.19706732525657,0.21001157407407406,0.02220960626778649,0.20171837079870142,0.2183047773494467
Entropy Threshold,30,159.69588888888885,35.170505401024215,146.5630063392625,172.8287714385152,0.6107877646745316,0.037424898971769906,0.5968130777309207,0.6247624516181424,10.820839999999983,1.0455777152468289,10.430414864669304,11.211265135330661,5.6355613425925934,1.0305791144577985,5.250736776839323,6.0203859083458635,48.3,7.442422668218582,45.520953703339586,51.07904629666041,0.9601176697530865,0.01963481075449516,0.9527859109232741,0.967449428582899,212.5,20.911554304935727,204.69149729338673,220.30850270661327,246.83333333333334,26.165367124915505,237.06302467836124,256.6036419883054,34.333333333333336,7.236561068073289,31.63115702149002,37.03550964517665,0.21426504629629634,0.0227129922959336,0.20578387558885528,0.2227462170037374
Extended QMIX Replica Mean,30,153.37579259259257,34.468912076500665,140.50488929585185,166.2466958893333,0.6084850519933781,0.03990408465030788,0.5935846219032385,0.6233854820835177,11.775284444444464,0.948488243951654,11.421113113510003,12.129455775378926,5.10174575617284,0.9519235154799356,4.746291673768288,5.4571998385773925,53.84444444444444,7.895744687075047,50.89612492401545,56.79276396487343,0.9608924897119342,0.02110910747115613,0.9530102194407183,0.9687747599831501,231.58888888888893,18.96976487903244,224.50546227019993,238.67231550757793,269.68888888888887,24.65003063318814,260.48441617918127,278.89336159859647,38.099999999999994,7.666991497366464,35.23709832441118,40.96290167558881,0.2341049382716049,0.021397596035753592,0.2261149445999837,0.24209493194322607
Greedy,30,-191.34703333333343,53.73687095791377,-211.41271071919655,-171.2813559474703,0.3307229209030266,0.06550106818760273,0.30626442007756494,0.3551814217284882,19.359173333333526,0.25220863467039595,19.264997081404218,19.453349585262835,8.82439236111111,0.4918752773752127,8.640723114019613,9.008061608202608,184.23333333333332,4.368250129674616,182.60220192801845,185.8644647386482,0.8857060185185185,0.040263777963241154,0.8706712767379787,0.9007407602990583,383.26666666666665,5.044172693407665,381.3831416280806,385.1501917052527,737.7333333333333,11.126028300661758,733.578806088122,741.8878605785447,354.46666666666664,6.831637019618071,351.91569147943744,357.01764185389584,0.6403935185185184,0.009658010677657784,0.6367871580626058,0.6439998789744311
QMIX Unanimous Ensemble,30,157.4274,34.49184713522891,144.54793261158324,170.30686738841678,0.6121965455414518,0.039117821093786115,0.5975897110884265,0.626803379994477,11.545840000000009,0.9522206351109463,11.190274971301886,11.901405028698132,5.213831018518519,1.0040262259062471,4.838921464299052,5.588740572737986,52.7,7.9052579621588475,49.74812816427406,55.65187183572595,0.9619212962962963,0.020258420781850212,0.9543566776553256,0.969485914937267,227.0,19.044412702218303,219.88869942603776,234.11130057396224,264.56666666666666,24.739586222020403,255.3287533505081,273.8045799828252,37.56666666666667,7.749008093735713,34.67313949067757,40.46019384265577,0.22965856481481486,0.021475335262170485,0.2216395428389828,0.23767758679064693
