policy,training_seed,n_environment_seeds,event_recall_mean,event_recall_std,event_recall_ci95_low,event_recall_ci95_high,missed_event_rate_mean,missed_event_rate_std,missed_event_rate_ci95_low,missed_event_rate_ci95_high,total_energy_consumption_mean,total_energy_consumption_std,total_energy_consumption_ci95_low,total_energy_consumption_ci95_high,harvested_energy_mean,harvested_energy_std,harvested_energy_ci95_low,harvested_energy_ci95_high,final_battery_mean,final_battery_std,final_battery_ci95_low,final_battery_ci95_high,mean_aoi_mean,mean_aoi_std,mean_aoi_ci95_low,mean_aoi_ci95_high,p95_aoi_mean,p95_aoi_std,p95_aoi_ci95_low,p95_aoi_ci95_high,max_aoi_mean,max_aoi_std,max_aoi_ci95_low,max_aoi_ci95_high,redundant_sampling_mean,redundant_sampling_std,redundant_sampling_ci95_low,redundant_sampling_ci95_high,network_coverage_mean,network_coverage_std,network_coverage_ci95_low,network_coverage_ci95_high,network_utility_mean,network_utility_std,network_utility_ci95_low,network_utility_ci95_high,raw_episode_reward_mean,raw_episode_reward_std,raw_episode_reward_ci95_low,raw_episode_reward_ci95_high,sample_action_fraction_mean,sample_action_fraction_std,sample_action_fraction_ci95_low,sample_action_fraction_ci95_high,samples_delivered_mean,samples_delivered_std,samples_delivered_ci95_low,samples_delivered_ci95_high,samples_requested_mean,samples_requested_std,samples_requested_ci95_low,samples_requested_ci95_high,channel_blocks_mean,channel_blocks_std,channel_blocks_ci95_low,channel_blocks_ci95_high
Extended QMIX,101,20,0.5944154840415501,0.04420928104067428,0.5737249036170475,0.6151060644660526,0.4055845159584498,0.04420928104067427,0.38489393553394724,0.42627509638295236,11.910840000000018,0.9608247553671987,11.461160172443273,12.360519827556763,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.13227564828399996,0.0681712793802123,0.1003705074299834,0.16418078913801654,5.666970486111111,1.3168795426793918,5.05065188861748,6.283289083604743,22.357500000000016,7.972853200573488,18.62608984186046,26.088910158139573,43.2,12.78815241171543,37.21496043982354,49.18503956017646,53.25,8.78320766247191,49.13933227938532,57.36066772061468,0.952300347222222,0.027257380133911636,0.9395435006382873,0.9650571938061567,0.5670932745310421,0.056402683299230816,0.5406960061862619,0.5934905428758223,151.85075,38.002677829912884,134.0649492930659,169.63655070693412,0.23780381944444445,0.024337311843784962,0.22641360688801895,0.24919403200086995,234.3,19.21649510734271,225.30640344886572,243.2935965511343,273.95,28.036583244040276,260.8284751349978,287.0715248650022,39.65,10.658700424387678,34.66157464767245,44.638425352327545
Extended QMIX,102,20,0.5984286630490312,0.045284409699076794,0.5772349069236413,0.6196224191744211,0.40157133695096875,0.04528440969907679,0.3803775808255789,0.4227650930763586,11.973340000000022,0.8947912135183154,11.554564821335488,12.392115178664556,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.13202514698658976,0.06726823116619118,0.10054264570642686,0.16350764826675268,5.437717013888888,0.9869527415091981,4.975808912406949,5.899625115370828,21.19000000000001,6.2777300624383505,18.251931891163437,24.12806810883658,40.85,10.979766079379594,35.711311295729594,45.98868870427041,53.85,7.815470487908479,50.19224721870911,57.50775278129089,0.9537181712962962,0.02670176683981695,0.9412213597383962,0.9662149828541963,0.5717853782018226,0.05753079337907638,0.5448601380876471,0.5987106183159981,155.1517333333333,38.93097085337026,136.93147811804204,173.37198854862459,0.2395399305555555,0.0236832185906155,0.2284558430647554,0.25062401804635565,235.55,17.895824270365125,227.17449642670988,243.92550357329014,275.95,27.283067816389053,263.18113121059827,288.7188687894017,40.4,10.840469983985203,35.32650387513221,45.473496124867786
Extended QMIX,103,20,0.5966488238945,0.04389258379706503,0.5761064623424801,0.61719118544652,0.4033511761054999,0.04389258379706503,0.3828088145534799,0.4238935376575199,11.800840000000013,0.9370867510254779,11.362269900454853,12.239410099545173,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.1223681445887069,0.06400293542283733,0.09241384875765524,0.15232244041975856,5.589322916666666,1.0793563376009947,5.084168601008758,6.094477232324574,21.84000000000001,6.763672313018631,18.67450391720375,25.00549608279627,40.9,11.130328410532899,35.690845955685674,46.10915404431432,52.55,7.877182237323192,48.863365230937646,56.23663476906235,0.9530671296296296,0.027270847506256222,0.9403039801214209,0.9658302791378383,0.5696757856632749,0.05634648238288098,0.5433048201570004,0.5960467511695494,154.6088333333333,39.02237855512418,136.34579799676345,172.87186866990317,0.2361545138888889,0.024040553244624518,0.22490318863209946,0.24740583914567832,232.1,18.741735020508305,223.3285980090974,240.8714019909026,272.05,27.694717337807447,259.0884733041786,285.01152669582143,39.95,10.95673308974897,34.82209106669965,45.07790893330036
Improved QMIX,101,20,0.5714719392317911,0.04657107418041417,0.5496760055929065,0.5932678728706756,0.4285280607682089,0.04657107418041417,0.4067321271293243,0.4503239944070935,12.745840000000038,0.9103209382005878,12.319796686456465,13.171883313543612,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.08215133912404488,0.05203157155326889,0.05779981404844616,0.10650286419964358,5.665017361111112,1.1960838361590882,5.105232894502656,6.224801827719569,24.017500000000005,7.7659898714980615,20.382904860027732,27.65209513997228,44.95,10.465356382394548,40.052062444720704,49.8479375552793,57.85,9.223967635858683,53.53305026206705,62.16694973793295,0.946556712962963,0.026936335327827472,0.9339501199733818,0.9591633059525441,0.5419782532479134,0.057327932293166003,0.515147955044446,0.5688085514513808,128.16233333333332,39.20572297017408,109.8134901691835,146.51117649748315,0.2542534722222222,0.022569268724012298,0.24369072931702196,0.2648162151274225,251.0,18.20641876401085,242.479133729129,259.520866270871,292.9,25.999797570062167,280.7317201732093,305.0682798267907,41.9,9.983670878515893,37.22749819989954,46.572501800100454
Improved QMIX,102,20,0.5585324019132553,0.0455008329098691,0.537237356607331,0.5798274472191796,0.44146759808674474,0.04550083290986912,0.4201725527808204,0.4627626433926691,12.498340000000029,0.914427488420514,12.070374761792845,12.926305238207213,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.08166808702213796,0.05615901149548849,0.05538486059194747,0.10795131345232845,6.107638888888889,1.342457152289876,5.479349601615767,6.735928176162012,26.145000000000003,8.066775590101203,22.36963281047609,29.920367189523915,47.95,10.369362767813957,43.09698883926874,52.803011160731266,57.05,9.075560008819524,52.802507169543965,61.29749283045603,0.9425491898148148,0.02713426938120655,0.9298499608367312,0.9552484187928985,0.5274823450450112,0.05594934443682976,0.5012972458188247,0.5536674442711977,117.44721666666666,38.45919853745741,99.4477576917727,135.44667564156063,0.24839409722222222,0.022552349224557924,0.23783927288651602,0.2589489215579284,246.05,18.288549768409165,237.49069523585683,254.6093047641432,286.15,25.98030630669072,273.9908423652664,298.30915763473354,40.1,10.52765780918854,35.1729044794406,45.027095520559406
Improved QMIX,103,20,0.5686216151480539,0.046050551016960636,0.5470692938485409,0.5901739364475669,0.4313783848519461,0.04605055101696065,0.409826063552433,0.45293070615145914,12.87584000000004,0.8605995462161503,12.473067014212436,13.278612985787642,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.05700729477634632,0.03661174491730322,0.03987247071087714,0.0741421188418155,5.347569444444444,0.9823252200559072,4.8878270896686615,5.807311799220226,22.267500000000005,6.625613675649024,19.166617348423426,25.368382651576585,43.45,9.202259447949098,39.14321000674601,47.756789993253996,58.25,8.613789434450592,54.218622450809434,62.281377549190566,0.9454861111111109,0.027131496292869546,0.9327881799783193,0.9581840422439025,0.5386396516302643,0.056590966470488835,0.5121542640488489,0.5651250392116797,126.16074999999998,41.8043751624598,106.59570017258572,145.72579982741422,0.25668402777777777,0.02253620894094628,0.2461367573273255,0.26723129822823005,253.6,17.21199092432213,245.54454028424834,261.65545971575165,295.7,25.961712699970114,283.549544441079,307.850455558921,42.1,10.93954680096604,36.98013449744295,47.219865502557056
Published IQL,101,20,0.43394854085468015,0.05233827565685761,0.4094534738400938,0.4584436078692665,0.5660514591453198,0.0523382756568576,0.5415563921307335,0.5905465261599062,14.378340000000085,0.7375769362189512,14.033143368006549,14.723536631993621,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.024723838705775693,0.008360164510493425,0.020811161274824234,0.02863651613672715,8.68342013888889,0.8901938557863287,8.266796589874392,9.100043687903387,36.767500000000005,3.9896337716109938,34.90029391854662,38.63470608145339,59.8,4.8406176204456,57.53452121766134,62.06547878233865,69.65,9.869010508711227,65.03116090481358,74.26883909518644,0.9087962962962962,0.03148636895361579,0.8940602220201511,0.9235323705724413,0.39558957896314373,0.0579651306659375,0.3684610627414719,0.42271809518481557,-4.421716666666664,43.59393779281607,-24.82430758627838,15.98087425294505,0.3023003472222222,0.02642546584762068,0.28993284850917816,0.31466784593526625,283.65,14.751538724378625,276.7460673601295,290.5539326398705,348.25,30.442136656459027,334.00264148257327,362.49735851742673,64.6,18.93034322818374,55.740326650736236,73.45967334926375
Published IQL,102,20,0.38123404819923395,0.04737666944635249,0.35906108437014655,0.40340701202832135,0.618765951800766,0.047376669446352486,0.5965929879716786,0.6409389156298534,16.553340000000112,0.4560341053727957,16.339909468866825,16.7667705311334,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.023802455255976882,0.006296015023774479,0.020855829521814175,0.02674908099013959,10.123958333333333,1.2198066134079082,9.553071265212138,10.694845401454527,42.545,3.6466603322694255,40.83831042917786,44.251689570822144,61.15,4.556949579892695,59.01728194728102,63.28271805271898,76.6,17.682581378591937,68.32429717212636,84.87570282787362,0.8885850694444445,0.0332733407609983,0.8730126666185781,0.9041574722703108,0.33978708348534237,0.051668652671491073,0.31560540967477746,0.3639687572959073,-60.875249999999994,39.418760824882554,-79.32379794926618,-42.4267020507338,0.3532986111111111,0.018377589514882463,0.34469763446287444,0.3618995877593478,327.15,9.120682107455734,322.8813893773343,331.41861062266565,407.0,21.170983121144598,397.0916749012314,416.9083250987686,79.85,20.77010756883682,70.12929043489295,89.57070956510704
Published IQL,103,20,0.4475634987063943,0.043689029407355334,0.42711640354124847,0.4680105938715401,0.5524365012936057,0.04368902940735533,0.5319894061284598,0.5728835964587515,14.875840000000087,0.840958100214166,14.482259493904332,15.269420506095843,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.025467069375481398,0.006051644095985881,0.022634812756033955,0.02829932599492884,7.851258680555555,0.9108983535913486,7.424945128290617,8.277572232820491,33.78500000000001,4.459115442138254,31.69806973318978,35.871930266810246,56.2,6.864094220921229,52.98750501758515,59.412494982414856,78.5,12.622035868816258,72.59270537504503,84.40729462495497,0.9173611111111111,0.02984016678074129,0.903395483167751,0.9313267390544712,0.411525069129384,0.05053321070398579,0.38787479851726536,0.4351753397415027,2.8444500000000055,36.737795841632376,-14.349367713997765,20.038267713997776,0.3198350694444444,0.02906908513353893,0.30623031882050106,0.33343982006838774,293.6,16.819162004282965,285.72838987808507,301.471610121915,368.45,33.487586073836844,352.77732728121725,384.1226727187827,74.85,20.790369734187284,65.11980744960367,84.58019255039632
Published QMIX,101,20,0.3831924249511517,0.051565194501911965,0.35905917105441165,0.4073256788478917,0.6168075750488483,0.05156519450191195,0.5926743211521083,0.6409408289455883,15.17834000000011,0.6015932792877808,14.896785678488026,15.459894321512195,27.74678538620006,0.22039553901321787,27.64363709883119,27.84993367356893,0.022698265939449368,0.00797326428242149,0.018966663389082726,0.02642986848981601,10.88381076388889,0.7494336821407463,10.533065003990695,11.234556523787086,45.017500000000005,2.552618624492358,43.82283770964178,46.21216229035823,64.75,2.197486602557807,63.72154461208818,65.77845538791182,67.55,11.431604390782967,62.19984445662036,72.90015554337964,0.8830150462962963,0.03640040485527332,0.8659791324245109,0.9000509601680818,0.33975616111270224,0.05723819686556389,0.3129678603821188,0.36654446184328565,-53.179166666666674,47.043699090804914,-75.19629557244706,-31.162037760886296,0.31571180555555556,0.02182276001411579,0.3054984394811048,0.32592517163000634,299.65,12.031865585755362,294.0189135697584,305.28108643024154,363.7,25.13981953626138,351.9342022822327,375.46579771776726,64.05,16.693758682434837,56.23708043932288,71.86291956067711
