policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction,samples_delivered,samples_requested,channel_blocks
Battery + Entropy,222,0.6141078838174274,0.3858921161825726,10.495839999999973,27.42557524730638,0.19628023114756216,7.171006944444445,27.0,55.0,49.0,0.9505208333333334,0.583722337482711,192.75600000000009,0.2065972222222222,206.0,238.0,32.0
Battery + Entropy,223,0.578125,0.421875,10.095840000000003,27.78823108417696,0.2873427506849951,5.425347222222222,18.0,35.0,41.0,0.9421296296296298,0.5446686921296298,124.70233333333327,0.19444444444444445,198.0,224.0,26.0
Battery + Entropy,224,0.6428571428571429,0.3571428571428571,10.945839999999988,28.08723978600349,0.1863396032949342,4.805555555555555,16.0,29.0,49.0,0.984375,0.6328125,175.2199999999999,0.21961805555555555,215.0,253.0,38.0
Battery + Entropy,225,0.5446009389671361,0.45539906103286387,10.595839999999923,27.77582209554403,0.21058793522042252,5.337673611111111,20.0,38.0,52.0,0.9424189814814815,0.5132422622152669,101.80866666666658,0.20833333333333334,208.0,240.0,32.0
Battery + Entropy,226,0.5287356321839081,0.47126436781609193,8.745839999999818,27.863677478080206,0.3069408428116319,9.621527777777779,38.0,60.0,34.0,0.9282407407407409,0.49079395487441474,71.06933333333335,0.1675347222222222,171.0,193.0,22.0
Battery + Entropy,227,0.5989304812834224,0.4010695187165776,10.245839999999923,27.470396163705733,0.11447259650714685,5.481770833333333,18.0,43.0,49.0,0.9603587962962963,0.575188156070509,125.20633333333335,0.2092013888888889,201.0,241.0,40.0
Battery + Entropy,228,0.4797979797979798,0.5202020202020202,8.795839999999822,27.692085219615866,0.3125309079831847,7.623263888888889,28.0,43.0,32.0,0.8836805555555556,0.423988145342312,54.728999999999985,0.16927083333333334,172.0,195.0,23.0
Battery + Entropy,229,0.5930232558139535,0.40697674418604646,11.345840000000047,27.916316505075454,0.23378397792469421,5.614583333333333,19.0,32.0,45.0,0.9508101851851853,0.5638525516795867,189.18133333333316,0.22743055555555555,223.0,262.0,39.0
Battery + Entropy,230,0.6224489795918368,0.37755102040816324,10.045839999999894,27.74166292968646,0.19984958262336883,5.763888888888889,18.0,30.0,46.0,0.9626736111111112,0.5992152069160999,158.26199999999977,0.19444444444444445,197.0,224.0,27.0
Entropy Threshold,211,0.5919540229885057,0.40804597701149425,9.695839999999885,27.58635165301026,0.1528601176743658,5.924479166666667,21.0,40.0,40.0,0.9719328703703702,0.5753395726905065,117.41566666666671,0.19270833333333334,190.0,222.0,32.0
Entropy Threshold,212,0.5661157024793388,0.43388429752066116,11.245839999999994,27.919764761552692,0.13583726394156542,5.5078125,21.0,39.0,47.0,0.9409722222222222,0.5326991505968779,144.18500000000006,0.2300347222222222,221.0,265.0,44.0
Entropy Threshold,213,0.6519607843137255,0.3480392156862745,11.395839999999971,27.724887803272157,0.0657476540674751,4.717881944444445,16.0,36.0,53.0,0.9782986111111112,0.6378123297930284,184.63299999999995,0.23177083333333334,224.0,267.0,43.0
Entropy Threshold,214,0.5777027027027027,0.42229729729729726,12.245840000000063,27.94823480825298,0.10614822632378021,7.619791666666667,35.0,60.0,64.0,0.9317129629629629,0.5382530968468469,188.39033333333336,0.2586805555555556,241.0,298.0,57.0
Entropy Threshold,215,0.5652173913043478,0.4347826086956522,12.095840000000049,27.457604887378945,0.17620922171693684,6.774305555555555,30.450000000000045,52.0,60.0,0.9184027777777778,0.5190972222222222,182.9050000000001,0.25,238.0,288.0,50.0
Entropy Threshold,216,0.6313559322033898,0.3686440677966102,11.345839999999958,27.32361408507136,0.09225004097892384,6.221354166666667,24.0,50.0,46.0,0.9739583333333334,0.6149143714689266,208.47599999999994,0.2204861111111111,223.0,254.0,31.0
Entropy Threshold,217,0.5159420289855072,0.48405797101449277,12.545840000000066,28.049193411107996,0.08778582438933437,5.061631944444445,19.450000000000045,45.0,56.0,0.886574074074074,0.4574208266237251,155.23433333333335,0.2586805555555556,247.0,298.0,51.0
Entropy Threshold,218,0.6446700507614214,0.35532994923857864,10.945839999999972,27.828259921270625,0.18144640133592677,6.032118055555555,23.0,42.0,46.0,0.9751157407407407,0.6286279140815944,179.70133333333342,0.21006944444444445,215.0,242.0,27.0
Entropy Threshold,219,0.6390243902439025,0.36097560975609755,10.995839999999992,27.502366090802504,0.24585309483049,6.900173611111111,29.0,57.0,43.0,0.9765625,0.624047256097561,179.948,0.21614583333333334,216.0,249.0,33.0
Entropy Threshold,220,0.6445497630331753,0.35545023696682465,11.945840000000114,27.96253468956628,0.25397494009416133,4.689236111111111,16.0,26.0,57.0,0.9777199074074076,0.6301891346322627,184.30533333333335,0.23350694444444445,235.0,269.0,34.0
Entropy Threshold,221,0.6233766233766234,0.37662337662337664,11.145839999999987,27.87188910352081,0.061091062178869976,4.930555555555555,15.450000000000045,25.0,53.0,0.976851851851852,0.608946608946609,183.0773333333333,0.2309027777777778,219.0,266.0,47.0
Entropy Threshold,222,0.6224066390041494,0.3775933609958506,10.64583999999997,27.42557524730638,0.18378023114756215,7.394965277777778,29.450000000000045,54.0,49.0,0.9574652777777778,0.595932745504841,201.10200000000006,0.21006944444444445,209.0,242.0,33.0
Entropy Threshold,223,0.59375,0.40625,10.295840000000005,27.78823108417696,0.2873427506849951,5.274305555555555,17.450000000000045,34.0,41.0,0.9496527777777778,0.5638563368055556,137.04299999999992,0.1987847222222222,202.0,229.0,27.0
Entropy Threshold,224,0.6479591836734694,0.3520408163265306,11.095839999999988,28.08723978600349,0.17383960329493423,4.336805555555555,13.0,21.0,50.0,0.9878472222222222,0.6400846797052154,179.45299999999997,0.2222222222222222,218.0,256.0,38.0
Entropy Threshold,225,0.5633802816901409,0.43661971830985913,10.795839999999952,27.77582209554403,0.21058793522042252,5.058159722222222,18.450000000000045,37.0,53.0,0.9519675925925927,0.5363197704747001,117.77766666666653,0.21354166666666666,212.0,246.0,34.0
Entropy Threshold,226,0.5459770114942529,0.45402298850574707,8.895839999999833,27.863677478080206,0.3194408428116319,9.207465277777779,36.0,57.0,36.0,0.9317129629629631,0.5086938590889741,81.70233333333334,0.1701388888888889,174.0,196.0,22.0
Entropy Threshold,227,0.6096256684491979,0.39037433155080214,10.445839999999919,27.470396163705733,0.08947259650714688,4.803819444444445,15.0,29.0,49.0,0.9655671296296295,0.5886345068330362,134.07633333333337,0.2126736111111111,205.0,245.0,40.0
Entropy Threshold,228,0.494949494949495,0.505050505050505,8.895839999999833,27.692085219615866,0.3250309079831847,7.613715277777778,28.0,49.0,33.0,0.8900462962962963,0.4405279648335204,66.27333333333335,0.171875,174.0,198.0,24.0
Entropy Threshold,229,0.6085271317829457,0.3914728682170543,11.545840000000048,27.916316505075454,0.22128397792469423,5.317708333333333,18.0,29.0,48.0,0.9574652777777778,0.5826435992678725,203.33299999999986,0.2326388888888889,227.0,268.0,41.0
Entropy Threshold,230,0.6326530612244898,0.36734693877551017,10.245839999999893,27.74166292968646,0.1748495826233689,5.631944444444445,17.450000000000045,28.0,47.0,0.9661458333333334,0.6112351190476191,165.41099999999977,0.1987847222222222,201.0,229.0,28.0
Extended QMIX,211,0.5881226053639846,0.4118773946360153,10.929173333333283,27.586351653010258,0.08639232818981953,5.394965277777778,19.48333333333335,43.0,46.333333333333336,0.9701967592592592,0.5706012975379594,109.22966666666669,0.21701388888888892,214.66666666666666,250.0,35.333333333333336
Extended QMIX,212,0.571625344352617,0.4283746556473829,12.145840000000037,27.91976476155269,0.10667059727489876,5.1953125,19.666666666666668,40.0,50.666666666666664,0.9380787037037037,0.5362311562595653,144.74500000000003,0.2456597222222222,239.0,283.0,44.0
Extended QMIX,213,0.6405228758169935,0.35947712418300654,12.329173333333374,27.724887803272157,0.04491432073414178,4.495659722222222,16.48333333333335,36.0,56.0,0.9777199074074076,0.6262548036189786,172.806,0.25144675925925924,242.66666666666666,289.6666666666667,47.0
Extended QMIX,214,0.5664414414414414,0.4335585585585586,12.995840000000106,27.94823480825298,0.10624797206167831,7.112268518518519,34.0,58.333333333333336,69.33333333333333,0.9293981481481483,0.5264522334834835,171.6783333333333,0.27835648148148145,256.0,320.6666666666667,64.66666666666667
Extended QMIX,215,0.5618729096989966,0.43812709030100344,12.912506666666728,27.457604887378945,0.11787588838360356,6.5164930555555545,30.783333333333378,53.333333333333336,63.333333333333336,0.9168595679012346,0.5151611338205541,175.79022222222224,0.26591435185185186,254.33333333333334,306.3333333333333,52.0
