policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Always Sleep,,211,volatile,coordinated,-313.4999999999983,0.0,1.0,0.1958400000000021,27.58635165301026,0.9875899999999997,144.5,274.0,288.0,0.0,0.7395833333333334,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,212,volatile,coordinated,-415.4999999999976,0.0,1.0,0.1958400000000021,27.919764761552692,0.9875899999999997,144.5,274.0,288.0,0.0,0.6493055555555556,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,213,volatile,coordinated,-358.4999999999985,0.0,1.0,0.1958400000000021,27.724887803272157,0.9875899999999997,144.5,274.0,288.0,0.0,0.6875,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,214,volatile,coordinated,-496.4999999999973,0.0,1.0,0.1958400000000021,27.94823480825298,0.9875899999999997,144.5,274.0,288.0,0.0,0.5694444444444444,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,215,volatile,coordinated,-500.99999999999756,0.0,1.0,0.1958400000000021,27.457604887378945,0.9875899999999997,144.5,274.0,288.0,0.0,0.5486111111111112,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,216,volatile,coordinated,-406.4999999999975,0.0,1.0,0.1958400000000021,27.32361408507136,0.9875899999999997,144.5,274.0,288.0,0.0,0.6388888888888888,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,217,volatile,coordinated,-569.9999999999992,0.0,1.0,0.1958400000000021,28.049193411107996,0.9875899999999997,144.5,274.0,288.0,0.0,0.4930555555555556,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,218,volatile,coordinated,-347.9999999999981,0.0,1.0,0.1958400000000021,27.828259921270625,0.9875899999999997,144.5,274.0,288.0,0.0,0.6805555555555556,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,219,volatile,coordinated,-359.9999999999983,0.0,1.0,0.1958400000000021,27.502366090802504,0.9875899999999997,144.5,274.0,288.0,0.0,0.6875,0.0,0,0,0,0,1152,0,0.0
Always Sleep,,220,volatile,coordinated,-368.99999999999807,0.0,1.0,0.1958400000000021,27.96253468956628,0.9875899999999997,144.5,274.0,288.0,0.0,0.6805555555555556,0.0,0,0,0,0,1152,0,0.0
